Haleluya! Pujilah Allah dalam tempat kudus-Nya! Pujilah Dia dalam cakrawala-Nya yang kuat!	Molja’agi PANGERAN! Molja’agi Pangeran e dhalem Padalemmanna! Molja’agi kakowadanna e bang-abang!
untuk melaksanakan terhadap mereka hukuman seperti yang tertulis. Itulah semarak bagi semua orang yang dikasihi-Nya. Haleluya!	kaangguy ngokom sa-bangsa kalaban dhabuna Allah. Jareya kamennanganna ommat se ekataresnae Salerana. Molja’agi PANGERAN!
Haleluya! Pujilah TUHAN di sorga, pujilah Dia di tempat tinggi!	Molja’agi PANGERAN! Molja’agi PANGERAN, sakabbinna essena sowarga! Kabbi se badha e kennengngan se tenggi, molja’agi Salerana!
Pujilah Dia, hai segala malaikat-Nya, pujilah Dia, hai segala tentara-Nya!	Para malaekadda Pangeran, molja’agi Salerana, sakabbinna tantara sowarga, molja’agi Salerana!
Pujilah Dia, hai matahari dan bulan, pujilah Dia, hai segala bintang terang!	Molja’agi Salerana, are ban bulan, molja’agi Salerana, tang-bintang se rap-galiraban!
Pujilah Dia, hai langit yang mengatasi segala langit, hai air yang di atas langit!	Molja’agi Salerana, langnge’ se paleng tenggi, molja’agi Salerana, aeng e attas langnge’!
Baiklah semuanya memuji nama TUHAN, sebab Dia memberi perintah, maka semuanya tercipta.	Mara kabbi padha ngagungngagi asmana PANGERAN, sabab kabbi reya epabadha lantaran dhabuna.
Dia mendirikan semuanya untuk seterusnya dan selamanya, dan memberi ketetapan yang tidak dapat dilanggar.	Pangeran se nantowagi kennengnganna bang-sebang, kateptebban jareya etantowagi kaangguy salanjangnga.
Pujilah TUHAN di bumi, hai ular-ular naga dan segenap samudera raya;	Molja’agi PANGERAN, saessena bume, ga-naga tase’ ban sakabbinna sagara se lebar;
hai api dan hujan es, salju dan kabut, angin badai yang melakukan firman-Nya;	kelap ban ojan es, salju ban ondhem, kaleng busbus se atoro’ ka papakonna PANGERAN!
hai gunung-gunung dan segala bukit, pohon buah-buahan dan segala pohon aras:	Molja’agi Salerana, mo’-gumo’ ban nong-gunong, bungkana wa’-buwa’an ban las-alas;
hai binatang-binatang liar dan segala hewan, binatang melata dan burung-burung yang bersayap;	sakabbinna ebin ban keban alasan, sakabbinna keban se agalajar ban no’-mano’!
hai raja-raja di bumi dan segala bangsa, pembesar-pembesar dan semua pemerintah dunia;	Molja’agi Salerana, to-rato ban sa-bangsa, sakabbinna oreng agung ban para pangobasa;
hai teruna dan anak-anak dara, orang tua dan orang muda!	ngangodhadan lake’ ban bine’, oreng towa ban oreng ngodha.
Biarlah semuanya memuji-muji TUHAN, sebab hanya nama-Nya saja yang tinggi luhur, keagungan-Nya mengatasi bumi dan langit.	Mara kabbi ngagungngagi asmana PANGERAN, sabab asmana lebbi agung dhari sakabbinna nyama; kaagunganna ngongkole langnge’ ban bume.
Ia telah meninggikan tanduk umat-Nya, menjadi puji-pujian bagi semua orang yang dikasihi-Nya, bagi orang Israel, umat yang dekat pada-Nya. Haleluya!	Salerana la makowat bangsana, sampe’ Salerana egung-agungngagi ommadda, Isra’il, ommadda se kataresnan. Molja’agi PANGERAN!
Haleluya! Sungguh, bermazmur bagi Allah kita itu baik, bahkan indah, dan layaklah memuji-muji itu.	Molja’agi PANGERAN! Sabab becce’ ngagungngagi Salerana, ban anyanye ngagungngagi Salerana masenneng ate ban pekkeran.
TUHAN membangun Yerusalem, Ia mengumpulkan orang-orang Israel yang tercerai-berai;	PANGERAN mabali Yerusalim akantha asalla; abakta mole reng-oreng buwangan.
Ia menyembuhkan orang-orang yang patah hati dan membalut luka-luka mereka;	Salerana mabaras oreng se kaelangan pangarebban, sarta abetbet ka-lokana.
Ia menentukan jumlah bintang-bintang dan menyebut nama-nama semuanya.	Pangeran se nantowagi bannya’na bintang e langnge’, se apareng nyama ka tong-settongnga.
Besarlah Tuhan kita dan berlimpah kekuatan, kebijaksanaan-Nya tak terhingga.	Agung ban kobasa onggu Pangeran sengko’ ban ba’na, kabicaksana’anna tadha’ engganna.
TUHAN menegakkan kembali orang-orang yang tertindas, tetapi merendahkan orang-orang fasik sampai ke bumi.	Oreng se tatendhes epajaga, tape oreng se jahat ebantengngagi ka tana.
Bernyanyilah bagi TUHAN dengan nyanyian syukur, bermazmurlah bagi Allah kita dengan kecapi!	Mara anyanye ji-pojiyan kaator ka PANGERAN, tabbu calempongnga kaator ka Allahna sengko’ ban ba’na.
Dia, yang menutupi langit dengan awan-awan, yang menyediakan hujan bagi bumi, yang membuat gunung-gunung menumbuhkan rumput.	Salerana se ngampar ondhem e langnge’; se nyadhiya’agi ojan kaangguy bume, ban matombu rebba e mo’-gumo’.
Dia, yang memberi makanan kepada hewan, kepada anak-anak burung gagak, yang memanggil-manggil.	Pangeran jareya se apareng kakan ka ban-keban, ban ka budhu’na dhangdhang se lok-ologan.
Ia tidak suka kepada kegagahan kuda, Ia tidak senang kepada kaki laki-laki;	Se ekasokane Pangeran banne jaran se kowat; ban banne parjurit se bangalan.
TUHAN senang kepada orang-orang yang takut akan Dia, kepada orang-orang yang berharap akan kasih setia-Nya.	Se ekasokane Pangeran oreng se ta’at ka Salerana, ka oreng se teptep ngarep kataresna’anna.
Megahkanlah TUHAN, hai Yerusalem, pujilah Allahmu, hai Sion!	Mara molja’agi PANGERAN, Yerusalim! Molja’agi Allahna ba’na, Siyon!
Sebab Ia meneguhkan palang pintu gerbangmu, dan memberkati anak-anakmu di antaramu.	Sabab Salerana makoko bang-labang sakethengnga ba’na, ban aberkadi pandhudhu’na.
Ia memberikan kesejahteraan kepada daerahmu dan mengenyangkan engkau dengan gandum yang terbaik.	Salerana ajaga dhaerana ba’na sopaja teptebba aman, makennyang ba’na ban gandum se paleng bagus.
Ia menyampaikan perintah-Nya ke bumi; dengan segera firman-Nya berlari.	Salerana apareng papakon ka bume, dhadhabun jareya laju duli elakone.
Ia menurunkan salju seperti bulu domba dan menghamburkan embun beku seperti abu.	Salju epatoron akantha kapas, ebbun etabur akantha abu ban tana.
Ia melemparkan air batu seperti pecahan-pecahan. Siapakah yang tahan berdiri menghadapi dingin-Nya?	Salerana matoron ojan es akantha baliker; tadha’ se kellar nahan cellebba.
Ia menyampaikan firman-Nya, lalu mencairkan semuanya, Ia meniupkan angin-Nya, maka air mengalir.	Kalaban dhabuna es jareya laju ancar; aeng nyerroppagi, aeng laju agili.
Ia memberitakan firman-Nya kepada Yakub, ketetapan-ketetapan-Nya dan hukum-hukum-Nya kepada Israel.	Salerana apareng pessen ka ommadda, kateptebban ban hokomma ka ommat peleyanna.
Ia tidak berbuat demikian kepada segala bangsa, dan hukum-hukum-Nya tidak mereka kenal. Haleluya!	Ka sa-bangsa laen Pangeran ta’ kantha jareya, sabab sa-bangsa jareya ta’ kennal ka kom-hokomma. Molja’agi PANGERAN!
Haleluya! Pujilah TUHAN, hai jiwaku!	Molja’agi PANGERAN! He tang sokma, molja’agi PANGERAN!
Aku hendak memuliakan TUHAN selama aku hidup, dan bermazmur bagi Allahku selagi aku ada.	Sengko’ ngagungngagiya Pangeran saomorra, anyanye kaator ka Allah saabidda sengko’ gi’ badha e dunnya.
Janganlah percaya kepada para bangsawan, kepada anak manusia yang tidak dapat memberikan keselamatan.	Ja’ ngarep ka pangobasa, ka manossa se ta’ bisa madhateng kasalameddan.
Apabila nyawanya melayang, ia kembali ke tanah; pada hari itu juga lenyaplah maksud-maksudnya.	Mon la mate, reng-oreng jareya abali ka tana; e are jareya keya sakabbinna sajjana mosna.
Berbahagialah orang yang mempunyai Allah Yakub sebagai penolong, yang harapannya pada TUHAN, Allahnya:	Pojur oreng se ngandellagi GUSTE Allahna, se andhi’ Allahna Yakub se nolong aba’na.
Dia yang menjadikan langit dan bumi, laut dan segala isinya; yang tetap setia untuk selama-lamanya,	Allah jareya se abadhi langnge’ ban bume, tase’ ban saessena; Salerana esto salanjangnga.
yang menegakkan keadilan untuk orang-orang yang diperas, yang memberi roti kepada orang-orang yang lapar. TUHAN membebaskan orang-orang yang terkurung,	Salerana abilla reng-oreng se tatendhes, apareng kakan ka oreng se lapar. PANGERAN mabebas para tahanan,
TUHAN membuka mata orang-orang buta, TUHAN menegakkan orang yang tertunduk, TUHAN mengasihi orang-orang benar.	mamella’ matana oreng se buta. Majaga oreng se labu, taresna ka oreng se jujur.
TUHAN menjaga orang-orang asing, anak yatim dan janda ditegakkan-Nya kembali, tetapi jalan orang fasik dibengkokkan-Nya.	Salerana ngaobi reng-oreng manca; nolong kana’ jatim ban para randha, tape mabuddhu sajjana oreng se jahat.
TUHAN itu Raja untuk selama-lamanya, Allahmu, ya Sion, turun-temurun! Haleluya!	PANGERAN reya Rato salanjangnga. He Siyon, Allahna ba’na kobasa dhari lamba’ ban saterrossa. Molja’agi PANGERAN!
Puji-pujian dari Daud. Aku hendak mengagungkan Engkau, ya Allahku, ya Raja, dan aku hendak memuji nama-Mu untuk seterusnya dan selamanya.	Pojiyan dhari Daud. Abdidalem ngagungngagiya Junandalem, Guste, Junandalem Allah sareng Rato abdidalem; abdidalem amolja’agiya Junandalem salanjangnga.
Setiap hari aku hendak memuji Engkau, dan hendak memuliakan nama-Mu untuk seterusnya dan selamanya.	Sabban are abdidalem asokkora ka Junandalem, sareng amolja’agiya Junandalem salanjangnga.
Besarlah TUHAN dan sangat terpuji, dan kebesaran-Nya tidak terduga.	Sabab PANGERAN agung ban sapantessa emolja’agi, pekkeranna manossa ta’ dhugga kaangguy ngarte parkara kaagunganna.
Angkatan demi angkatan akan memegahkan pekerjaan-pekerjaan-Mu dan akan memberitakan keperkasaan-Mu.	Ron-temoron oreng badhi amolja’agiya sadaja se elampa’agi Junandalem sareng aberta’agi kaparjuga’annepon Junandalem.
Semarak kemuliaan-Mu yang agung dan perbuatan-perbuatan-Mu yang ajaib akan kunyanyikan.	Reng-oreng gapaneka badhi aberta’agiya kaagungan sareng kamolja’annepon Junandalem, karyaepon Junandalem se makasambu’ ate sareng abdidalem epekkera epadhalem.
Kekuatan perbuatan-perbuatan-Mu yang dahsyat akan diumumkan mereka, dan kebesaran-Mu hendak kuceritakan.	Reng-oreng gapaneka aberta’agi lalampa’annepon Junandalem se nako’e, abdidalem badhi ngabarragi kaagungannepon Junandalem, Guste,
Peringatan kepada besarnya kebajikan-Mu akan dimasyhurkan mereka, dan tentang keadilan-Mu mereka akan bersorak-sorai.	Oreng badhi nyareta’agi kasaeyannepon Junandalem sareng anyanye parkara kaadilannepon Junandalem.
TUHAN itu pengasih dan penyayang, panjang sabar dan besar kasih setia-Nya.	Pangeran reya taresna ban neserran, ta’ gampang duka ban taresna salanjangnga.
TUHAN itu baik kepada semua orang, dan penuh rahmat terhadap segala yang dijadikan-Nya.	Salerana sae ka sakabbinna oreng, ban bellas ka sakabbinna cepta’anna.
Segala yang Kaujadikan itu akan bersyukur kepada-Mu, ya TUHAN, dan orang-orang yang Kaukasihi akan memuji Engkau.	Sadaja cepta’annepon Junandalem badhi amolja’agiya Junandalem, GUSTE, sadaja ommattepon Junandalem badhi asokkor ka Junandalem.
Mereka akan mengumumkan kemuliaan kerajaan-Mu, dan akan membicarakan keperkasaan-Mu,	Sadajana padha ngagungngagiya kobasaepon Junandalem menangka Rato, sareng nyareta’agi kaparjuga’annepon Junandalem,
untuk memberitahukan keperkasaan-Mu kepada anak-anak manusia, dan kemuliaan semarak kerajaan-Mu.	sopaja sadajana oreng padha onenga lalakon raja se elampa’agi Junandalem, sarta karaja’annepon Junandalem se molja sareng ce’ bagussa.
Kerajaan-Mu ialah kerajaan segala abad, dan pemerintahan-Mu tetap melalui segala keturunan. TUHAN setia dalam segala perkataan-Nya dan penuh kasih setia dalam segala perbuatan-Nya.	Pamarenta’annepon Junandalem teptep salanjangnga, kakobasa’annepon Junandalem paggun ron-temoron. PANGERAN esto ka dhabuna, taresna e dhalem sabarang se elampa’agi Salerana.
TUHAN itu penopang bagi semua orang yang jatuh dan penegak bagi semua orang yang tertunduk.	Pangeran nolong oreng se nemmo kasossa’an, majaga oreng se labu.
Mata sekalian orang menantikan Engkau, dan Engkaupun memberi mereka makanan pada waktunya;	Junandalem pangarebbanna sadajana mahlok, Junandalem apareng teddha’an teppa’ baktona.
Engkau yang membuka tangan-Mu dan yang berkenan mengenyangkan segala yang hidup.	Junandalem nyokobi sadajana kaparlowanna, kantos tadha’ se kakorangan.
TUHAN itu adil dalam segala jalan-Nya dan penuh kasih setia dalam segala perbuatan-Nya.	PANGERAN adil e dhalem sabarang se elampa’agi, ban taresna e dhalem sabarang se ejalannagi.
TUHAN dekat pada setiap orang yang berseru kepada-Nya, pada setiap orang yang berseru kepada-Nya dalam kesetiaan.	Pangeran semma’ ka oreng se aserro ka Salerana, sarta nyo’on ka Salerana kalaban berse atena.
Ia melakukan kehendak orang-orang yang takut akan Dia, mendengarkan teriak mereka minta tolong dan menyelamatkan mereka.	Oreng alem epasenneng atena, serrona epeyarsa’agi ban epasalamet kabbi.
TUHAN menjaga semua orang yang mengasihi-Nya, tetapi semua orang fasik akan dibinasakan-Nya.	Pangeran ngaobi oreng se taresna ka Salerana, tape oreng se jahat epamate tadha’ karena.
Mulutku mengucapkan puji-pujian kepada TUHAN dan biarlah segala makhluk memuji nama-Nya yang kudus untuk seterusnya dan selamanya.	Sengko’ ros-terrosan ngagungngagiya PANGERAN, moga sakabbinna mahlogga amolja’agi asmana salanjangnga.
Dari Daud. Terpujilah TUHAN, gunung batuku, yang mengajar tanganku untuk bertempur, dan jari-jariku untuk berperang;	Dhari Daud. Molja’agi PANGERAN tang pangaoban! Salerana se ngalate sengko’ abuwang, se ngajari sengko’ aperrang.
yang menjadi tempat perlindunganku dan kubu pertahananku, kota bentengku dan penyelamatku, perisaiku dan tempat aku berlindung, yang menundukkan bangsa-bangsa ke bawah kuasaku!	Salerana se nolong ban se abilla sengko’, panyalamedda sengko’, kennengnganna sengko’ ngaop. Salerana tang pangaoban, kennengnganna tang pangongseyan, se matellok sa-bangsa ka sengko’.
Ya TUHAN, apakah manusia itu, sehingga Engkau memperhatikannya, dan anak manusia, sehingga Engkau memperhitungkannya?	Ponapa manossa ka’dhinto, GUSTE, sareng Junandalem me’ egateyagi? Pasera manossa ka’dhinto, sareng Junandalem me’ ekagali?
Manusia sama seperti angin, hari-harinya seperti bayang-bayang yang lewat.	Manossa ka’dhinto akadi angen sasergu’an, odhi’na akadi jang-bajangan se lebat.
Ya TUHAN, tekukkanlah langit-Mu dan turunlah, sentuhlah gunung-gunung, sehingga berasap!	Ngereng bukka’ langnge’epon Junandalem, GUSTE, pas toron ka baba, seddingngagi nong-gunong me’ olle metto kalembang.
Lontarkanlah kilat-kilat dan serakkanlah mereka, lepaskanlah panah-panah-Mu, sehingga mereka kacau!	Ontallagi kelappepon Junandalem sopaja moso asalebbudan, ocol panaepon Junandalem sopaja reng-oreng gapaneka baridhu.
Ulurkanlah tangan-Mu dari tempat tinggi, bebaskanlah aku dan lepaskanlah aku dari banjir, dari tangan orang-orang asing,	Pangacengngagi astaepon Junandalem dhari sowarga, palopottagi abdidalem dhari banjir sareng ba’a. Pasalamettagi abdidalem dhari kobasana oreng manca
yang mulutnya mengucapkan tipu dan yang tangan kanannya adalah tangan kanan dusta.	se dujan acaca lecek sareng nepo, sarta asompa palsu.
Ya Allah, aku hendak menyanyikan nyanyian baru bagi-Mu, dengan gambus sepuluh tali aku hendak bermazmur bagi-Mu,	Abdidalem anyanyeyagiya lagu se anyar kaagem Junandalem, ya Allah, sareng nabbuwa calempong sambi anyanye.
Engkau yang memberikan kemenangan kepada raja-raja, dan yang membebaskan Daud, hamba-Mu!	Junandalem marenge kamennangan ka to-rato sareng mabebas Daud, abdiepon.
Bebaskanlah aku dari pada pedang celaka dan lepaskanlah aku dari tangan orang-orang asing, yang mulutnya mengucapkan tipu, dan yang tangan kanannya adalah tangan kanan dusta.	Palopottagi abdidalem dhari peddhangngepon oreng jahil; pasalamettagi abdidalem dhari kobasaepon oreng manca se dujan acaca lecek sareng nepo sarta asompa palsu.
Semoga anak-anak lelaki kita seperti tanam-tanaman yang tumbuh menjadi besar pada waktu mudanya; dan anak-anak perempuan kita seperti tiang-tiang penjuru, yang dipahat untuk bangunan istana!	Moga ana’ lalake’anna sengko’ ban ba’na e bakto ngodhana padha’a ban men-tamennan se atamba raja. Moga ana’ babine’anna sengko’ ban ba’na padha’a ban pangpang se lebur abasanna se daddi rarengganna du-padduna karaton.
Semoga gudang-gudang kita penuh, mengeluarkan beraneka ragam barang; semoga kambing domba kita menjadi beribu-ribu, berlaksa-laksa di padang-padang kita!	Moga dhang-gudhangnga sengko’ ban ba’na possa’a aesse hasel bume samacemma. Moga ba-dumba e gal-teggalla sengko’ ban ba’na adhu’-budhu’a sampe’ apolowan ebu bannya’na.
Semoga lembu sapi kita sarat; semoga tidak ada kegagalan dan tidak ada keguguran, dan tidak ada jeritan di lapangan-lapangan kita!	Moga pe-sapena sengko’ ban ba’na adhu’-budhu’a, tadha’ se elang otaba kalabuwan. Moga tadha’a oreng se acerreng polana kasangsara’an e rong-lorongnga kotthana sengko’ ban ba’na.
Berbahagialah bangsa yang demikian keadaannya! Berbahagialah bangsa yang Allahnya ialah TUHAN!	Pojur bangsa se kantha jareya, pojur ommat se Allahna PANGERAN!
Mazmur Daud. Ya TUHAN, dengarkanlah doaku, berilah telinga kepada permohonanku! Jawablah aku dalam kesetiaan-Mu, demi keadilan-Mu!	Jaburra Daud. Peyarsa’agi du’a abdidalem, GUSTE, gateyagi parnyo’onan abdidalem. Saodi abdidalem, sabab Junandalem esto, kabbullagi du’a abdidalem, sabab Junandalem adil.
Janganlah beperkara dengan hamba-Mu ini, sebab di antara yang hidup tidak seorangpun yang benar di hadapan-Mu.	Abdidalem ka’dhinto abdiepon Junandalem, ja’ adili abdidalem, Guste, sabab e ajunannepon Junandalem tadha’ oreng se ta’ gadhuwan sala.
Sebab musuh telah mengejar aku dan mencampakkan nyawaku ke tanah, menempatkan aku di dalam gelap seperti orang yang sudah lama mati.	Abdidalem eserser sareng epakala moso, sarta epamaso’ ka penjara se petteng calemot, abdidalem akadi oreng se ampon abit mate.
Semangatku lemah lesu dalam diriku, hatiku tertegun dalam tubuhku.	Abdidalem ampon ta’ gadhuwan samangat, ate bingong ta’ karowan.
Aku teringat kepada hari-hari dahulu kala, aku merenungkan segala pekerjaan-Mu, aku memikirkan perbuatan tangan-Mu.	Abdidalem ngenga’e re-are gi’ jaman dhimen; mekkere sadajana se elampa’agi Junandalem, sadaja karyaepon Junandalem epekker e dhalem ate.
Aku menadahkan tanganku kepada-Mu, jiwaku haus kepada-Mu seperti tanah yang tandus. Sela	Abdidalem adu’a ka Junandalem lengngen epenthang, tanang eangka’; akadi tana se kerreng, abdidalem rep-ngarep Junandalem.
Jawablah aku dengan segera, ya TUHAN, sudah habis semangatku! Jangan sembunyikan wajah-Mu terhadap aku, sehingga aku seperti mereka yang turun ke liang kubur.	Ngereng enggal saodi abdidalem, GUSTE, sabab abdidalem ampon ta’ gadhuwan pangarep. Ja’ ngetek dhari abdidalem, Guste, sopaja abdidalem ta’ akadi oreng se ampon toron ka alamma oreng mate.
Perdengarkanlah kasih setia-Mu kepadaku pada waktu pagi, sebab kepada-Mulah aku percaya! Beritahukanlah aku jalan yang harus kutempuh, sebab kepada-Mulah kuangkat jiwaku.	Sabban gi’ laggu paemottagi ka abdidalem kataresna’annepon Junandalem, sabab Junandalem pangarebban abdidalem. Duduwagi jalan se kodu elebadi abdidalem, sabab namong ka Junandalem abdidalem adu’a.
Lepaskanlah aku dari pada musuh-musuhku, ya TUHAN, pada-Mulah aku berteduh!	Abdidalem entar nyareya pangaoban ka Junandalem, palopottagi abdidalem, GUSTE, dhari sadajana moso.
Ajarlah aku melakukan kehendak-Mu, sebab Engkaulah Allahku! Kiranya Roh-Mu yang baik itu menuntun aku di tanah yang rata!	Ajari abdidalem ngalakone kasokannepon Junandalem, sabab Junandalem Allah abdidalem. Junandalem sae, sareng badhi nonton abdidalem e jalan se rata.
Hidupkanlah aku oleh karena nama-Mu, ya TUHAN, keluarkanlah jiwaku dari dalam kesesakan demi keadilan-Mu!	Pasalamettagi abdidalem, GUSTE menorot se ejanjiyagi Junandalem, bebassagi abdidalem dhari kasompeggan, sabab Junandalem ka’dhinto pajat sae.
Binasakanlah musuh-musuhku demi kasih setia-Mu, dan lenyapkanlah semua orang yang mendesak aku, sebab aku ini hamba-Mu!	Patompessagi so-moso abdidalem, bit kataresna’annepon Junandalem, pamateyagi reng-oreng se nendhes abdidalem, sabab abdidalem ka’dhinto abdiepon Junandalem.
Nyanyian pengajaran Daud, ketika ia ada di dalam gua: suatu doa. Dengan nyaring aku berseru-seru kepada TUHAN, dengan nyaring aku memohon kepada TUHAN.	Nyanyeyan pangajaranna Daud e bakto badha e dhalem guwa. Sengko’ aserro epakaja ka PANGERAN; tang sowara eparanyeng nyo’on bantowanna.
Aku mencurahkan keluhanku ke hadapan-Nya, kesesakanku kuberitahukan ke hadapan-Nya.	E ajunanna sengko’ aserrowan; notorragi sakabbinna tang kasossa’an.
Ketika semangatku lemah lesu di dalam diriku, Engkaulah yang mengetahui jalanku. Di jalan yang harus kutempuh, dengan sembunyi mereka memasang jerat terhadap aku.	E bakto abdidalem para’ kaelangana pangarep, Junandalem ngagali ponapa se kodu elakone abdidalem. E jalan se kodu elebadi abdidalem, moso ta’ asa’-kasa’ masang jira’ ajebbaga abdidalem.
Pandanglah ke kanan dan lihatlah, tidak ada seorangpun yang menghiraukan aku; tempat pelarian bagiku telah hilang, tidak ada seorangpun yang mencari aku.	E bakto abdidalem atole ka ereng, abdidalem ta’ nengale oreng se nolongana abdidalem. Tadha’ se ngaobi abdidalem, otaba se marduli abdidalem.
Aku berseru-seru kepada-Mu, ya TUHAN, kataku: "Engkaulah tempat perlindunganku, bagianku di negeri orang-orang hidup!"	Abdidalem aserro ka Junandalem, GUSTE, Junandalem pangaoban abdidalem, namong Junandalem se ekaparlo abdidalem e dhalem odhi’ ka’dhinto.
Perhatikanlah teriakku, sebab aku telah menjadi sangat lemah. Lepaskanlah aku dari pada orang-orang yang mengejar aku, sebab mereka terlalu kuat bagiku.	Peyarsa’agi serro abdidalem paneka, sabab abdidalem talebat nyangsara. Pasalamet abdidalem dhari moso abdidalem sadajana, sabab monggu ka abdidalem moso talebat kowat.
Keluarkanlah aku dari dalam penjara untuk memuji nama-Mu. Orang-orang benar akan mengelilingi aku, apabila Engkau berbuat baik kepadaku.	Pakalowarragi abdidalem dhari penjara, sopaja e dhalem kompolanna ommattepon Junandalem abdidalem kengenga amolja’agi asmaepon Junandalem, sabab Junandalem sae ka abdidalem.
Mazmur Daud. Ya TUHAN, aku berseru kepada-Mu, datanglah segera kepadaku, berilah telinga kepada suaraku, waktu aku berseru kepada-Mu!	Jaburra Daud. Abdidalem aserro ka Junandalem, GUSTE, nyo’ona tolong duliyan abdidalem samangken! Peyarsa’agi abdidalem manabi aserro ka Junandalem.
Biarlah doaku adalah bagi-Mu seperti persembahan ukupan, dan tanganku yang terangkat seperti persembahan korban pada waktu petang.	Tarema’agi du’a abdidalem menangka tor-ator dupa, sareng lengngen abdidalem se epenthang menangka kurban e baja malem.
Awasilah mulutku, ya TUHAN, berjagalah pada pintu bibirku!	Adhu GUSTE, jaga’agi colo’ abdidalem, bibir ka’dhinto olattagi.
Jangan condongkan hatiku kepada yang jahat, untuk melakukan perbuatan-perbuatan yang fasik bersama-sama dengan orang-orang yang melakukan kejahatan; dan jangan aku mengecap sedap-sedapan mereka.	Jauwagi abdidalem dhari pekkeran juba’, ja’ kantos abdidalem noro’ reng-oreng se daraka ja’ kantos abdidalem noro’ neddha manabi reng-oreng jahat gapaneka apesta.
Biarlah orang benar memalu dan menghukum aku, itulah kasih; tetapi janganlah minyak orang fasik menghiasi kepalaku! Sungguh aku terus berdoa menentang kejahatan-kejahatan mereka.	Manabi oreng se sae maemot abdidalem, kalaban ate se ehlas ca’-ngoca’e abdidalem, ka’dhinto marabut mennya’ se paleng sae ka abdidalem. namong abdidalem ta’ narema’a panghormadanna oreng jahat, sabab abdidalem terros adu’a nolak kajahadanna reng-oreng gapaneka.
Apabila mereka diserahkan kepada hakim-hakimnya, maka mereka akan mendengar, bahwa perkataan-perkataanku menyenangkan.	Manabi para pangobasana reng-oreng gapaneka ebantengngagi dhari gir-penggirra jurang bato se durjet, tanto reng-oreng gapaneka ngakone ja’ oca’ abdidalem pajat lerres.
Seperti batu yang dibelah dan dihancurkan di tanah, demikianlah akan berhamburan tulang-tulang mereka di mulut dunia orang mati.	Lang-tolangnga reng-oreng gapaneka bakal etabura e penggirra koburan akadi bato se epalejjar e tana.
Tetapi kepada-Mulah, ya ALLAH, Tuhanku, mataku tertuju; pada-Mulah aku berlindung, jangan campakkan aku!	Namong Junandalem teptep daddi pangarep abdidalem, Guste ALLAH, Pangeran kaula, ja’ kantos abdidalem mate sabab abdidalem ngaop ka Junandalem.
