Berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
Dibuat merekalah tutup bahu pada baju efod itu, yang disambung kepadanya, dikedua ujungnyalah baju efod itu disambung.	Saellana jareya efod gella’ egabayyagi talena bau dhadhuwa’ se pas ejai’agi ka bagiyan erengnga sopaja efod jareya cekka’a.
Sabuk pengikat yang ada pada baju efod itu adalah seiras dan sama buatannya dengan baju efod itu, yakni dari emas, kain ungu tua, kain ungu muda, kain kirmizi dan lenan halus yang dipintal benangnya, seperti yang diperintahkan TUHAN kepada Musa.	Sabbu’ tennonan alos ekagabay dhari bahan se padha, se ejai’agi ka efod jareya sampe’ daddi settong bagiyan akantha se epakonnagi PANGERAN ka Mosa.
Dikerjakan merekalah permata krisopras, yakni dililit dengan ikat emas, diukirkan padanya nama para anak Israel, yang diukirkan seperti meterai.	Se kadhuwa jareya agangse mamatan dalima pas epasang ka dhalem barangka emmas. Kalaban kaahliyanna, se kadhuwa jareya ngokerragi ma-nyamana pottrana Yakub se dhubellas e mamatan jareya.
Ditaruhnyalah itu pada kedua tutup bahu baju efod sebagai permata peringatan untuk mengingat orang Israel, seperti yang diperintahkan TUHAN kepada Musa.	Saellana jareya to-bato mamatan jareya epasang ka talena bauna efod menangka tandha parengeddanna suku Isra’il se dhubellas, akantha se epakonnagi PANGERAN ka Mosa.
Dibuatnyalah tutup dada, buatan seorang ahli. Buatannya sama dengan baju efod, yakni dari emas, kain ungu tua, kain ungu muda, kain kirmizi dan lenan halus yang dipintal benangnya.	Bezale’el ban Aholiyab agabay totobba dhadha dhari bahan se padha ban se ekagabay efod, ban solamanna padha keya.
Empat persegi dibuatnya itu; lipat dua dibuat mereka tutup dada itu, sejengkal panjangnya dan sejengkal lebarnya.	Bangonna masagi, pas eleppet madhuwa, lebar ban lanjangnga padha dhu lekor sentimeter.
Ditatah merekalah itu dengan empat jajar permata: permata yaspis merah, krisolit, malakit, itulah jajar yang pertama;	Totobba dhadha jareya epobuwi mamatan pa’ baris. E baris se kapeng settong bato dalima, topas ban biduri.
jajar yang kedua: permata batu darah, lazurit, yaspis hijau;	E baris se kapeng dhuwa’ jamerrut, mamatan bungo ban enten.
jajar yang ketiga: permata ambar, akik, kecubung;	E baris se kapeng tello’ lazuwardi, akek ban kacobung.
jajar yang keempat: permata pirus, krisopras dan nefrit. Dililit dengan ikat emas, demikianlah permata-permata itu dalam tatahannya.	E baris se kapeng empa’ bato pirus, jakut ban ratna campaka. Mamatan se dhubellas jareya epacekka’ ngangguy bennang emmas.
Sesuai dengan nama para anak Israel, permata itu adalah dua belas banyaknya; dan pada tiap-tiap permata ada diukirkan seperti meterai, nama salah satu suku dari yang dua belas itu.	Saneyap mamatan eokere nyamana sala settong dhari nyamana pottrana Yakub se dhubellas oreng menangka parengeddan ka ku-suku Isra’il se dhubellas.
Juga dibuat merekalah untuk tutup dada itu untai berpilin, yang buatannya sebagai tali berjalin, dari emas murni.	Totobba dhadha jareya egabayyagi rantay emmas dhadhuwa’ se epente akantha tale.
Dibuat merekalah dua ikat emas dan dua gelang emas dan kedua gelang itu dipasang pada kedua ujung tutup dada.	Ban long-kolong emmas dhadhuwa’ se epasang e konco’ bagiyan attas se dhadhuwa’ e totobba dhadha jareya.
Dipasang merekalah kedua untai emas yang berjalin itu pada kedua gelang itu di ujung tutup dada.	Rantay emmas se dhadhuwa’ gella’ epamaso’ ka long-kolong gella’,
Kedua ujung lain dari kedua untai berjalin itu dipasang merekalah pada kedua ikat emas itu, demikianlah dipasang pada tutup bahu baju efod, di sebelah depannya.	dineng konco’ laenna se dhadhuwa’ etaleyagi ka pamedhangan se dhadhuwa’, daddi totobba dhadha jareya ekenneng sambung ban bagiyan adha’na talena bauna efod.
Dibuat merekalah dua gelang emas dan dibubuh pada kedua ujung tutup dada itu, pada pinggirnya yang sebelah dalam, yang berhadapan dengan baju efod.	Saellana jareya laju egabayyagi pole long-kolong emmas dhadhuwa’ aggi’ se epasang ka totobba dhadha jareya, e konco’ baba bagiyan dhalemma se nyedding ka efod.
Juga dibuat merekalah dua gelang emas dan dipasang pada kedua tutup bahu baju efod, di sebelah bawah pada bagian depan, dekat ke tempat persambungannya, di sebelah atas sabuk baju efod.	Samarena laju egabayyagi long-kolong emmas dhadhuwa’ se epasang e bagiyan adha’na talena bauna efod se dhadhuwa’, e seddi’anna sambunganna jai’an abak ka baba, e attassa sabbu’ se ekagabay dhari tennonan se alos.
Kemudian diikatkan merekalah tutup dada itu dengan gelangnya kepada gelang baju efod dengan memakai tali ungu tua, sehingga tetap di atas sabuk baju efod, dan tutup dada itu tidak dapat bergeser dari baju efod--seperti yang diperintahkan TUHAN kepada Musa.	Menorot dhabuna PANGERAN ka Mosa, long-kolongnga totobba dhadha jareya esambung ban long-kolongnga efod ngangguy tale bungo, daddi totobba dhadha jareya paggun badha e attassa sabbu’na ban ta’ locot.
Dibuatnyalah gamis baju efod, buatan tukang tenun, dari kain ungu tua seluruhnya.	Juba se eangguy e lowaranna efod ekagabay dhari wol bungo.
Leher gamis itu di tengah-tengahnya seperti leher baju zirah, lehernya itu mempunyai pinggir sekelilingnya, supaya jangan koyak.	Lobangnga le’erra epakoko ban pita tennonan me’ olle ta’ gampang beddha.
Dibuat merekalah pada ujung gamis itu buah delima dari kain ungu tua, kain ungu muda dan kain kirmizi, yang dipintal benangnya.	E sakalenglengnga kelleman babana epobuwi rarenggan buwana dalima dhari kaen linen alos ban wol bungo, bungo terrong ban mera, elang-selleng ban gungseng emmas, menorot se edhabuwagi PANGERAN ka Mosa.
Dibuat merekalah kemeja dari lenan halus, buatan tukang tenun, untuk Harun dan anak-anaknya,	Se kadhuwa jareya agabay kameja se eangguyyagiya ka Harun ban tra-pottrana,
serban dari lenan halus, destar yang indah dari lenan halus, celana lenan dari lenan halus yang dipintal benangnya,	surban, destar ban calana pandha’ dhari linen,
dan ikat pinggang dari lenan halus yang dipintal benangnya, kain ungu tua, kain ungu muda dan kain kirmizi, dari tenunan yang berwarna-warna--seperti yang diperintahkan TUHAN kepada Musa.	ban sabbu’ dhari kaen linen se alos, wol bungo, bungo terrong ban mera, erengga ban solaman, akantha se epakonnagi PANGERAN ka Mosa.
Dibuat merekalah patam, jamang yang kudus dari emas murni, dan pada jamang itu dituliskan tulisan, diukirkan seperti meterai: Kudus bagi TUHAN.	Se kadhuwa jareya agabay keya jamang dhari emmas morne, menangka tandha ja’ Harun ban tra-pottrana jareya la ekusussagi ka PANGERAN. Rarenggan jareya epobuwi okeran se amonye "Ekusussagi ka PANGERAN,"
Dipasang merekalah pada patam itu tali ungu tua untuk mengikatkan patam itu pada serbannya, di sebelah atas--seperti yang diperintahkan TUHAN kepada Musa.	sarta epasang e surbanna e bagiyan adha’na, menorot se epakonnagi PANGERAN ka Mosa.
Demikianlah diselesaikan segala pekerjaan melengkapi Kemah Suci, yakni Kemah Pertemuan itu. Orang Israel telah melakukannya tepat seperti yang diperintahkan TUHAN kepada Musa, demikianlah mereka melakukannya.	Dhi-budhina lalakon agabay Kemah Socce jareya laju mare. Oreng Isra’il ngalakone lalakon jareya kabbi akantha se epakonnagi PANGERAN ka Mosa.
Dibawa merekalah Kemah Suci itu kepada Musa, yakni kemah dengan segala perabotannya: kaitannya, papannya, kayu lintangnya, tiangnya dan alasnya,	Kemah jareya egiba ka Mosa ban sakabbinna parlengkabanna, bi’ e’-kae’na, ju-kajuna se malang, ga-canggana ban langganna,
tudung dari kulit domba jantan yang diwarnai merah, tudung dari kulit lumba-lumba, tabir penudung,	totobba se dhari kole’na embi’ lake’ se epamera, totobba se dhari kole’ se alos, bir-tabir se egabay kodhung,
tabut hukum Allah dengan kayu-kayu pengusungnya dan tutup pendamaian,	Petthe Parjanjiyan se aesse papan bato dhadhuwa’ bi’ kol-pekolla ban kodhungnga,
meja, segala perkakasnya dan roti sajian,	meja ban sakabbinna parlengkabanna ban roti sasajinna,
kandil dari emas murni, lampu-lampunya--lampu yang harus teratur di atasnya--dan segala perkakasnya, minyak untuk penerangan,	ko’-tongko’na damar dhari emmas morne mar-damar ban parlengkabanna, mennya’na damar,
mezbah dari emas, minyak urapan, ukupan dari wangi-wangian, tirai pintu kemah,	mezba dhari emmas, mennya’ opacara, dupa ro’om, bir-tabirra labangnga Kemah,
mezbah tembaga dengan kisi-kisi tembaganya, kayu-kayu pengusungnya dan segala perkakasnya, bejana pembasuhan dengan alasnya,	mezba paronggu se ngangguy kaba’ anggi’an dhari paronggu, kaju kol-pekol ban parlengkabanna; cemmong pabaccowan ban langganna,
layar pelataran, tiangnya dan alasnya, dan tirai untuk pintu gerbang pelataran, talinya dan patoknya, segala perkakas untuk pekerjaan mendirikan Kemah Suci, yakni Kemah Pertemuan itu;	jar-lajarra taneyan ban ga-cangga sarta langganna, bir-tabirra labangnga taneyan ban le-talena, jek-rajegga Kemah; sakabbinna parabut se eangguy e dhalem Kemah,
pakaian jabatan yang dipakai apabila diselenggarakan kebaktian di tempat kudus, pakaian kudus untuk imam Harun, dan pakaian anak-anaknya untuk memegang jabatan imam.	ban kalambi se eangguya para imam e dhalem kabakteyan e bakto ajalannagi kawajibanna e Rowangan Se Socce sarta kalambi se kusus kaangguy Harun ban tra-pottrana.
Tepat seperti yang diperintahkan TUHAN kepada Musa, demikianlah dilakukan orang Israel segala pekerjaan melengkapi itu.	Lalakon jareya kabbi bi’ oreng Isra’il ejalannagi menorot se epakonnagi PANGERAN ka Mosa.
Dan Musa melihat segala pekerjaan itu, dan sesungguhnyalah, mereka telah melakukannya seperti yang diperintahkan TUHAN, demikianlah mereka melakukannya. Lalu Musa memberkati mereka.	Bi’ Mosa kabbi padha epareksa, Mosa ngoladi ja’ gabayanna Kemah jareya la padha kabbi ban se epakonnagi PANGERAN. Reng-oreng jareya bi’ Mosa laju eberkadi.
Dibuatnyalah mezbah korban bakaran itu dari kayu penaga, lima hasta panjangnya dan lima hasta lebarnya, empat persegi, tetapi tiga hasta tingginya.	Bezale’el agabay mezba dhari akasia, kennengnganna kurban obbaran. Meja jareya masagi empa’, lanjangnga ban lebarra padha dhu koma dhuwa’ meter, ban tenggina settong koma tello’ meter.
Dibuatnyalah tanduk-tanduknya pada keempat sudutnya; tanduk-tanduknya itu dibuat seiras dengan mezbah itu dan disalutnya dengan tembaga.	E saneyap padduna bagiyan attas epobuwi tandhu’ se masettong ban mezba jareya. Kabbi padha ekole’e paronggu.
Dibuatnyalah segala perkakas mezbah itu, yakni kuali-kuali, sodok-sodok, bokor-bokor penyiraman, garpu-garpu dan perbaraan-perbaraan, semua perkakasnya itu dibuatnya dari tembaga.	Laen dhari jareya Bezale’el agabay keya parabudda mezba, iya areya: li-kobali, sekkop, bung-tobung, pu-garpu ban dha-baddhana apoy: parlengkaban jareya kabbi ekagabay dhari paronggu.
Dibuatnyalah untuk mezbah itu kisi-kisi, yakni jala-jala tembaga, di bawah jalur, mulai dari sebelah bawah sampai setengah tingginya.	Mezbana egabayyagi kaba’ anggi’an dhari paronggu se ele’le’agi ka bagiyan babana mezba jareya, tenggina sampe’ saparona tenggina meja jareya.
Dituangnyalah empat gelang pada keempat ujung kisi-kisi tembaga itu, yakni tempat memasukkan kayu pengusung.	Mezba jareya epobuwi long-kolong panyekkadanna kaju kol-pekolla, epobu e padduna se pa’-empa’ se bagiyan baba.
Dibuatnyalah kayu-kayu pengusung itu dari kayu penaga dan disalutnya dengan tembaga.	Kol-pekolla dhari kaju akasia, ekole’e paronggu.
Dan dimasukkannyalah kayu-kayu pengusung itu ke dalam gelang-gelang yang pada rusuk mezbah itu, supaya dengan itu mezbah dapat diangkut. Mezbah itu dibuatnya berongga dan dari papan.	Kaju kol-pekol jareya laju epamaso’ ka long-kolongnga e bagiyan erengnga dhu kalaja. Mezba jareya ekagabay dhari papan se gurpong bagiyan dhalemma.
Dibuatnyalah bejana pembasuhan dan juga alasnya dari tembaga, dari cermin-cermin para pelayan perempuan yang melayani di depan pintu Kemah Pertemuan.	Bezale’el agabay cemmong dhari paronggu, ban langganna dhari paronggu keya. Paronggu jareya ekagabay dhari ca-kaca andhi’na babine’an se aladine e labangnga Kemah Socce.
Dibuatnyalah pelataran itu; pada sebelah selatan: layar pelataran itu dari lenan halus yang dipintal benangnya, seratus hasta panjangnya;	Bezale’el magari taneyanna Kemah Socce jareya ban bir-tabir dhari kaen linen alos. E bagiyan lao’ lanjangnga pa’ polo empa’ meter,
kedua puluh tiang layar itu dengan kedua puluh alas tiang itu dari tembaga, tetapi kaitan-kaitan tiang itu dan penyambung-penyambungnya dari perak.	epagantong ka cangga paronggu se bannya’na dhu polo meggi’, ga-cangga jareya elangganne paronggu, epasange e’-kae’ ban panyekkadanna e’-kae’na dhari salaka.
Pada sebelah utara: seratus hasta; kedua puluh tiang layar itu dengan kedua puluh alas tiang itu dari tembaga, tetapi kaitan-kaitan tiang itu dan penyambung-penyambungnya dari perak.	E bagiyan dhaja ekagabay akantha jareya keya.
Pada sebelah barat: layar lima puluh hasta; dengan sepuluh tiangnya dan sepuluh alas tiang itu, dan kaitan-kaitan tiang itu serta penyambung-penyambungnya dari perak.	E bagiyan bara’ epobuwi bir-tabir se lanjangnga dhu lekor meter, canggana sapolo ban langganna canggana sapolo keya; e’-kae’ ban panyekkadanna e’-kae’ jareya dhari salaka.
Dan pada sebelah timur: lima puluh hasta,	E bagiyan temor, se badha labangnga, lebarra bir-tabirra dhu lekor meter keya.
yakni layar lima belas hasta untuk sisi yang satu di samping pintu gerbang itu, dengan tiga tiangnya dan tiga alas tiang itu;	E kangan kacerra labang jareya epasange bir-tabir, lanjangnga nem koma ennem meter ebang, ngangguy cangga tatello’ ban langganna canggana tatello’ keya.
Segala layar yang mengelilingi pelataran, adalah dari lenan halus yang dipintal benangnya.	Jar-lajar e sakalenglengnga taneyan jareya dhari kaen linen alos kabbi.
Alas-alas untuk tiang-tiang itu adalah dari tembaga, tetapi kaitan-kaitan tiang itu dan penyambung-penyambungnya dari perak, juga salut kepalanya dari perak. Dihubungkanlah dengan penyambung-penyambung dari perak segala tiang-tiang pelataran itu.	Langganna ga-canggana dhari paronggu, dineng e’-kae’na ban panyambungnga ga-cangga se egabay panyekkadanna e’-kae’na dhari salaka. Ga-cangga e sabingkerra taneyan jareya se settong ban settonganna esambung ban bung-sambung salaka.
Tirai pintu gerbang pelataran itu tenunan yang berwarna-warna dari kain ungu tua, kain ungu muda, kain kirmizi dan dari lenan halus yang dipintal benangnya; dua puluh hasta panjangnya, tetapi tingginya--yang juga lebar kain itu--adalah lima hasta, sama dengan tinggi layar pelataran itu.	Bir-tabirra labang sakethengnga taneyan jareya ekagabay dhari linen alos se etennon bi’ wol bungo, bungo terrong ban mera, sarta erengga ban solaman. Lanjangnga sangang meter ban tenggina dhu meter, padha ban bir-tabirra taneyan.
Keempat tiangnya dan keempat alas tiang itu dari tembaga; tetapi kaitan-kaitannya dari perak, dan juga salut kepalanya, serta penyambung-penyambungnya dari perak.	Kaen bir-tabirra labang jareya epakae’ ngangguy cangga pa’-empa’ se elangganne paronggu pa’-empa’. E’-kae’na, totobba konco’na ban lang-palang se nyambung ga-canggana ekagabay dhari salaka,
Segala patok untuk Kemah Suci dan untuk pelataran itu, sekelilingnya, adalah dari tembaga.	tape jek-rajegga Kemah ban jek-rajegga pagarra dhari paronggu.
Inilah daftar biaya untuk mendirikan Kemah Suci, yakni Kemah Suci, tempat hukum Allah, yang disusun atas perintah Musa, oleh orang Lewi di bawah pimpinan Itamar, anak imam Harun.	Areya’ dhaftarra logam se eangguy e dhalem Kemah Socce, kennengnganna panyempennanna papan bato se dhadhuwa’ se aesse Papakon Se Sapolo. Dhaftar jareya ekagabay kalaban parentana Mosa, ban esoson bi’ reng-oreng Lewi se alako epimpin Itamar, pottrana Imam Harun.
Bezaleel bin Uri bin Hur, dari suku Yehuda, membuat segala yang diperintahkan TUHAN kepada Musa,	Bezale’el ana’na Uri, kompoyya Hur dhari suku Yehuda, agabay sabarang se epakonnagi PANGERAN.
dan bersama-sama dengan dia turut Aholiab, anak Ahisamakh, dari suku Dan, seorang tukang dan ahli, seorang yang membuat tenunan yang berwarna-warna dari kain ungu tua, dari kain ungu muda, dari kain kirmizi dan dari lenan halus. --	Se nolonge Bezale’el jareya, iya areya Aholiyab ana’na Ahisamakh dhari suku Dan, jareya tokang ngoker, se arancang ban se atennon kaen linen alos, sarta wol bungo, bungo terrong ban mera.
Segala emas yang dipakai untuk segala pekerjaan mendirikan tempat kudus itu, yakni emas dari persembahan unjukan, ada dua puluh sembilan talenta dan tujuh ratus tiga puluh syikal, ditimbang menurut syikal kudus.	Emmas se egabay tor-ator ka PANGERAN kaangguy Kemah Socce jareya kabbi bannya’na saebu kilo, etembang menorot tembangan se resme e Kemah Socce.
Perak persembahan mereka yang didaftarkan dari antara jemaah itu ada seratus talenta dan seribu tujuh ratus tujuh puluh lima syikal, ditimbang menurut syikal kudus:	Salaka ollena dhari caca jiwana bangsa Isra’il bannya’na tello ebu pa’ ratos tello polo kilo, etembang menorot tembangan se eangguy e Kemah Socce.
sebeka seorang, yaitu setengah syikal, ditimbang menurut syikal kudus, untuk setiap orang yang termasuk orang-orang yang terdaftar, yang berumur dua puluh tahun ke atas, sejumlah enam ratus tiga ribu lima ratus lima puluh orang.	Bannya’na salaka jareya padha ban se ebajarragi bi’ sakabbinna oreng se edhaftar e dhalem caca jiwa jareya. Saneyap oreng majar menorot se etantowagi, etembang menorot tembangan se eangguy e Kemah Socce. E dhalem caca jiwa jareya bannya’na oreng lalake’an se aomor dhu polo taon ka attas se edhaftar badha nem ratos tello ebu lema ratos saeket.
