Peliharalah kasih persaudaraan!	Sampeyan kodu saleng taresna menangka reng-oreng Kristen se ataretanan.
Itu jugalah sebabnya Yesus telah menderita di luar pintu gerbang untuk menguduskan umat-Nya dengan darah-Nya sendiri.	Ganeka sababba Isa jugan seda e lowarra labang sakethengnga kottha kaangguy maberse ommadda dhari dusa sareng dharana dibi’.
Karena itu marilah kita pergi kepada-Nya di luar perkemahan dan menanggung kehinaan-Nya.	Daddi, ngereng sampeyan sareng kaula sadaja nyabis ka Salerana e lowarra parkemahan ban noro’ eya-seya asareng Salerana.
Sebab di sini kita tidak mempunyai tempat tinggal yang tetap; kita mencari kota yang akan datang.	Sabab e bume tadha’ kennengngan se langgeng kaangguy sampeyan sareng kaula; sampeyan sareng kaula sadaja nyare kennengngan se bakal dhateng.
Sebab itu marilah kita, oleh Dia, senantiasa mempersembahkan korban syukur kepada Allah, yaitu ucapan bibir yang memuliakan nama-Nya.	Daddi, kalaban parantara’anna Isa, sampeyan sareng kaula sadaja kodu ji-moji Allah; ganeka daddi kurban sokkorra sampeyan sareng kaula sadaja ka Salerana, se eatorragi kalaban ocabanna bibir kaangguy amolja’agi asmana.
Dan janganlah kamu lupa berbuat baik dan memberi bantuan, sebab korban-korban yang demikianlah yang berkenan kepada Allah.	Ja’ loppa alako bagus ban saleng tolong, sabab ganeka ban-kurban se masenneng panggaliyanna Allah.
Taatilah pemimpin-pemimpinmu dan tunduklah kepada mereka, sebab mereka berjaga-jaga atas jiwamu, sebagai orang-orang yang harus bertanggung jawab atasnya. Dengan jalan itu mereka akan melakukannya dengan gembira, bukan dengan keluh kesah, sebab hal itu tidak akan membawa keuntungan bagimu.	Toro’ parentana pin-pamimpinna sampeyan, ban patoro’ oca’ ka pin-pamimpin ganeka. Sabab reng-oreng ganeka ros-terrosan mekkere sokmana sampeyan sareng kaula sadaja, ban kodu atanggung jawab ka Allah. Mon sampeyan atoro’ ka pin-pamimpin ganeka, tanto pin-pamimpin ganeka bisa alako kalaban ate senneng; mon bunten, tanto reng-oreng ganeka alako kalaban ate sossa, ban ganeka ta’ ngontonge ka sampeyan.
Berdoalah terus untuk kami; sebab kami yakin, bahwa hati nurani kami adalah baik, karena di dalam segala hal kami menginginkan suatu hidup yang baik.	Sampeyan terros adu’a nyo’onnagi kaula sadaja. Kaula sadaja yakin ate kaula sadaja morne, sabab e dhalem parkara ponapa’a saos kaula sadaja ajalannagi sabarang se lerres.
Dan secara khusus aku menasihatkan kamu, agar kamu melakukannya, supaya aku lebih lekas dikembalikan kepada kamu.	Kaula kong-langkong nyo’ona kalaban gu-onggu, sopaja sampeyan nyo’onnagi kaula sopaja Allah duli abakta kaula abali ka sampeyan.
Maka Allah damai sejahtera, yang oleh darah perjanjian yang kekal telah membawa kembali dari antara orang mati Gembala Agung segala domba, yaitu Yesus, Tuhan kita,	Allah ampon maodhi’ pole Guste Isa. Lantaran sedana samangken paneka Salerana daddi Pangowan Se Agung kaangguy sampeyan sareng kaula sadaja, enggi paneka ba-dumbana. Sedana ganeka jugan se maessa parjanjiyan se langgeng se ebadhi Allah sareng sampeyan ban kaula sadaja.
kiranya memperlengkapi kamu dengan segala yang baik untuk melakukan kehendak-Nya, dan mengerjakan di dalam kita apa yang berkenan kepada-Nya, oleh Yesus Kristus. Bagi Dialah kemuliaan sampai selama-lamanya! Amin.	Moga-moga Allah somberra sejahtera ganeka agenna’e sampeyan sareng sadaja se sae se ekaparlo sampeyan kaangguy ajalannagi kasokanna. Moga-moga kalaban parantara’anna Isa Almasih, Allah alampa’agi e dhalem sampeyan sareng kaula sadaja ponapa se daddi kasokanna. Tore molja’agi Almasih salanjangnga! Amin!
Dan aku menasihatkan kamu, saudara-saudara, supaya kata-kata nasihat ini kamu sambut dengan rela hati, sekalipun pendek saja suratku ini kepada kamu.	Kaula nyo’ona sopaja sampeyan agateyagi babala’an kaula paneka kalaban sabbar, sabab sorat kaula paneka ce’ lanjangnga.
Ketahuilah, bahwa Timotius, saudara kita, telah berangkat. Segera sesudah ia datang, aku akan mengunjungi kamu bersama-sama dengan dia.	Sampeyan kodu oneng ja’ taretan Timotiyus ampon epakalowar dhari penjara. Mon Timotiyus ampon entar ka kennengngan kaula paneka, bi’ kaula ebakta’a mon kaula entar ka sampeyan.
Sampaikanlah salam kepada semua pemimpin kamu dan semua orang kudus. Terimalah salam dari saudara-saudara di Italia.	Panapa’agi salam kaula ka pin-pamimpinna sampeyan ban ka sadajana ommadda Allah. Tarema jugan salam dhari tan-taretan e Itali.
Kasih karunia menyertai kamu sekalian.	Moga-moga Pangeran aberkadi sampeyan sadaja, taretan.
Karena kita mempunyai banyak saksi, bagaikan awan yang mengelilingi kita, marilah kita menanggalkan semua beban dan dosa yang begitu merintangi kita, dan berlomba dengan tekun dalam perlombaan yang diwajibkan bagi kita.	Parkara sampeyan sareng kaula sadaja dibi’, e sakalenglengnga sampeyan sareng kaula ce’ bannya’na sakse! Daddi ngereng buwang sadaja se maberra’ sampeyan sareng kaula, sarta dusa se terros nalket ka aba’ paneka. Ban ngereng pahoso’ berka’ e dhalem adduwan se badha e adha’an paneka.
Marilah kita melakukannya dengan mata yang tertuju kepada Yesus, yang memimpin kita dalam iman, dan yang membawa iman kita itu kepada kesempurnaan, yang dengan mengabaikan kehinaan tekun memikul salib ganti sukacita yang disediakan bagi Dia, yang sekarang duduk di sebelah kanan takhta Allah.	Pekkeran tojjuwagi ka Isa, sabab Isa ganeka se andaddiyagi sampeyan sareng kaula gadhuwan iman sarta se meyara iman ganeka dhari dha’-adha’na kantos aher. Isa kowat nanggung sangsara e kaju salib! Salerana ta’ parduli ja’ seda e kaju salib paneka tamaso’ barang se aeb. Salerana namong emot ka kagumbira’an se bakal ekarassa’a saamponna ganeka. Samangken Salerana alenggi e kanganna tahtana Allah ban marenta asareng Salerana.
Ingatlah selalu akan Dia, yang tekun menanggung bantahan yang sehebat itu terhadap diri-Nya dari pihak orang-orang berdosa, supaya jangan kamu menjadi lemah dan putus asa.	Ngereng kagali, saponapa sangsarana Isa ngadhebbi reng-oreng dusa se alaban ce’ sarana ka Salerana! Daddi Sampeyan ja’ kene’ ate sarta pegga’ pangarep.
Dalam pergumulan kamu melawan dosa kamu belum sampai mencucurkan darah.	Sabab e dhalem sampeyan abuwang sareng dusa, sampeyan ta’ oneng abuwang kantos mangalocor dhara.
Dan sudah lupakah kamu akan nasihat yang berbicara kepada kamu seperti kepada anak-anak: "Hai anakku, janganlah anggap enteng didikan Tuhan, dan janganlah putus asa apabila engkau diperingatkan-Nya;	Ban ja’ kantos sampeyan loppa ka babala’anna Allah paneka, se eparengngagi ka sampeyan menangka tra-pottrana: "Na’, gateyagi pagu-onggu pangajaranna Pangeran, ban ja’ kene’ ate mon Salerana duka ka ba’na.
karena Tuhan menghajar orang yang dikasihi-Nya, dan Ia menyesah orang yang diakui-Nya sebagai anak."	Sabab Pangeran ngajar saneyap oreng se ekataresnae Salerana, sarta meccot saneyap oreng se eakone menangka pottrana."
Jika kamu harus menanggung ganjaran; Allah memperlakukan kamu seperti anak. Di manakah terdapat anak yang tidak dihajar oleh ayahnya?	Sampeyan kodu narema peccodda Allah menangka pangajaran dhari eppa’na. Sabab ponapa badha ana’ se ta’ oneng eokom sareng eppa’na?
Tetapi, jikalau kamu bebas dari ganjaran, yang harus diderita setiap orang, maka kamu bukanlah anak, tetapi anak-anak gampang.	Mon sampeyan ta’ noro’ eokom akadi tra-pottrana se laen artena sampeyan banne pottrana se essa, nangeng pottra se ta’ essa.
Selanjutnya: dari ayah kita yang sebenarnya kita beroleh ganjaran, dan mereka kita hormati; kalau demikian bukankah kita harus lebih taat kepada Bapa segala roh, supaya kita boleh hidup?	Sampeyan sareng kaula sadaja gadhuwan eppa’ e dunnya. Eppa’ ganeka ngajar sampeyan sareng kaula, dineng sampeyan sareng kaula padha ngormat ka eppa’ ganeka. Daddi, ponapa pole ka Rama rohanina sampeyan sareng kaula se e sowarga, tantona kodu lebbi ngestowagi Salerana sopaja sampeyan sareng kaula odhi’.
Sebab mereka mendidik kita dalam waktu yang pendek sesuai dengan apa yang mereka anggap baik, tetapi Dia menghajar kita untuk kebaikan kita, supaya kita beroleh bagian dalam kekudusan-Nya.	Oreng towa se ngajar sampeyan sareng kaula e dunnya badha batessa baktona, menorot ponapa se ekarassa sae sareng oreng towa ganeka. Nangeng Allah ngajar sampeyan sareng kaula kaangguy kabecce’anna sampeyan sareng kaula dibi’, sopaja bisa daddi socce asareng Salerana.
Memang tiap-tiap ganjaran pada waktu ia diberikan tidak mendatangkan sukacita, tetapi dukacita. Tetapi kemudian ia menghasilkan buah kebenaran yang memberikan damai kepada mereka yang dilatih olehnya.	Pajat lerres e bakto sampeyan sareng kaula sadaja eajar, okoman ganeka masompek ate, ta’ masenneng ate. Nangeng saamponna ganeka, monggu ka sampeyan sareng kaula se ampon eajar, okoman ganeka andaddiyagi sampeyan sareng kaula sadaja odhi’ menorot kasokanna Allah, ban ngasellagi parasa’an sejahtera ka sampeyan sareng kaula sadaja.
Sebab itu kuatkanlah tangan yang lemah dan lutut yang goyah;	Daddi pakowat tanangnga sampeyan se leca’ ban to’odda sampeyan se ngetter ganeka!
dan luruskanlah jalan bagi kakimu, sehingga yang pincang jangan terpelecok, tetapi menjadi sembuh.	Papaggun alomampa e jalan se rampa, sopaja sokona sampeyan se dippang ganeka ta’ tasaleyo, nangeng la’-mala’ daddi baras.
Berusahalah hidup damai dengan semua orang dan kejarlah kekudusan, sebab tanpa kekudusan tidak seorangpun akan melihat Tuhan.	Ehteyarragi sopaja odhi’ rokon sareng pasera’a saos. Ehteyarragi jugan kaangguy odhi’ socce, malolo kaagem Pangeran. Sabab tadha’ oreng settonga se bisa nengale Pangeran mon ta’ odhi’ kadi ganeka.
Jagalah supaya jangan ada seorangpun menjauhkan diri dari kasih karunia Allah, agar jangan tumbuh akar yang pahit yang menimbulkan kerusuhan dan yang mencemarkan banyak orang.	Jaga ja’ kantos badha settonga se kalowar dhari rahmadda Allah sopaja ta’ kantos badha se daddi akadi bu-tombuwan se badha raconna e nga’-tengnga’anna sampeyan kantos madhateng kasossa’an ban marosak oreng bannya’ bi’ raconna ganeka.
Janganlah ada orang yang menjadi cabul atau yang mempunyai nafsu yang rendah seperti Esau, yang menjual hak kesulungannya untuk sepiring makanan.	Jaga ja’ kantos badha se alako ma’seyat odhi’na otabana ta’ ngargai ra-parkara se rohani, akadi se elakone Esau. Esau ajuwal ha’na menangka ana’ sareyang coma polana terro kakanan satobung.
Sebab kamu tahu, bahwa kemudian, ketika ia hendak menerima berkat itu, ia ditolak, sebab ia tidak beroleh kesempatan untuk memperbaiki kesalahannya, sekalipun ia mencarinya dengan mencucurkan air mata.	Sampeyan sadaja oneng ja’ saamponna ganeka Esau terro narema’a berkat ganeka dhari ramana, nangeng etolak. Sabab sanare Esau nanges nyare jalan kaangguy malerres kasala’anna, kasempadan ganeka ampon tadha’ pole.
Sebab kamu tidak datang kepada gunung yang dapat disentuh dan api yang menyala-nyala, kepada kekelaman, kegelapan dan angin badai,	Sampeyan ta’ dhateng ngadhebbi barang akadi se eadhebbi bangsa Isra’il gi’ dhimen. Se eadhebbi bangsa Isra’il gi’ dhimen ganeka ekenneng gagap, enggi paneka Gunong Sinay ban apoyya se rabbang; bangsa Isra’il ngadhebbi papetteng ban angen barat;
kepada bunyi sangkakala dan bunyi suara yang membuat mereka yang mendengarnya memohon, supaya jangan lagi berbicara kepada mereka,	bangsa Isra’il ngedhing monyena tarompet ban monye se nako’e. E bakto ngedhing sowara ganeka, reng-oreng Isra’il nyo’on ce’ tarongguna sopaja sowara ganeka ta’ abu-dhabu pole ka aba’na.
sebab mereka tidak tahan mendengar perintah ini: "Bahkan jika binatangpun yang menyentuh gunung, ia harus dilempari dengan batu."	Sabab bangsa Isra’il ganeka ta’ kowat ngedhing papakon se epanapa’ bi’ sowara ganeka. Sabab sowara ganeka adhabu, "Sapa se nyedding ka gunong reya, ta’ parduli burun alas otabana sapa’a bai, kodu egarujuk pasampe’ mate."
Dan sangat mengerikan pemandangan itu, sehingga Musa berkata: "Aku sangat ketakutan dan sangat gemetar."	Se etengale reng-oreng Isra’il ganeka ce’ hebadda kantos Mosa adhabu, "Sengko’ tako’ ban ngetter!"
Tetapi kamu sudah datang ke Bukit Sion, ke kota Allah yang hidup, Yerusalem sorgawi dan kepada beribu-ribu malaikat, suatu kumpulan yang meriah,	Sabaligga sampeyan padha meyos ka Gumo’ Siyon ban ka kotthana Allah se odhi’, enggi paneka Yerusalim se e sowarga sareng para malaekadda se abun-ebun.
dan kepada jemaat anak-anak sulung, yang namanya terdaftar di sorga, dan kepada Allah, yang menghakimi semua orang, dan kepada roh-roh orang-orang benar yang telah menjadi sempurna,	Sampeyan ngereng kompolan se gumbira kompolanna tra-pottra sareyangnga Allah, se ma-nyamana badha e dhalem dhaftar e sowarga. Sampeyan ngadhep ka Allah, Hakimma sadajana ommat manossa. Sampeyan ngadhebbi errohna reng-oreng se sae, se ampon epasamporna.
dan kepada Yesus, Pengantara perjanjian baru, dan kepada darah pemercikan, yang berbicara lebih kuat dari pada darah Habel.	Sampeyan rabu ngadhep Isa, Pangantarana parjanjiyan se anyar ganeka; sampeyan ngadhebbi dhara se etes-ketessagi se ajamin pa-ponapa se jau lebbi bagus dhari se ejamin bi’ dharana Habil.
Jagalah supaya kamu jangan menolak Dia, yang berfirman. Sebab jikalau mereka, yang menolak Dia yang menyampaikan firman Allah di bumi, tidak luput, apa lagi kita, jika kita berpaling dari Dia yang berbicara dari sorga?	Daddi, sampeyan kodu te-ngate, ja’ sampe’ ta’ kasokan meyarsa’agi Salerana se abu-dhabu ganeka. Reng-oreng se ta’ poron merengngagi Salerana se rabu ka bume ban manapa’ berta dhari Allah, ta’ bisa buru. Ponapa pole sampeyan sareng kaula paneka se meyarsa’agi Salerana se abu-dhabu dhari sowarga! Mon sampeyan sareng kaula ta’ poron merengngagi Salerana, sampeyan sareng kaula sadaja ta’ kera bisa lopot!
Waktu itu suara-Nya menggoncangkan bumi, tetapi sekarang Ia memberikan janji: "Satu kali lagi Aku akan menggoncangkan bukan hanya bumi saja, melainkan langit juga."	E bakto ganeka sowarana mabaridhu bume. Nangeng samangken Salerana ajanji, "Sakaleyan aggi’ Sengko’ magundhegga banne bume malolo, tape langnge’ keya."
Ungkapan "Satu kali lagi" menunjuk kepada perubahan pada apa yang dapat digoncangkan, karena ia dijadikan supaya tinggal tetap apa yang tidak tergoncangkan.	Oca’ "sakaleyan aggi’" noduwagi ja’ saantero dunnya se ampon ecepta’agi bakal epagundhegga ban epanyeseya, sopaja se gi’ badha pera’ kare se ta’ bisa agundhek.
Jadi, karena kita menerima kerajaan yang tidak tergoncangkan, marilah kita mengucap syukur dan beribadah kepada Allah menurut cara yang berkenan kepada-Nya, dengan hormat dan takut.	Daddi, sampeyan sareng kaula kodu asakalangkong ka Allah, polana sampeyan sareng kaula sadaja narema dhari Salerana settong karaja’an se ta’ bisa agundhek. Tore asakalangkong ban abakte ka Allah kalaban hormat ban tako’, menorot cara se ekasokane Salerana dibi’.
Sebab Allah kita adalah api yang menghanguskan.	Sabab Allahna sampeyan sareng kaula sadaja akadi apoy se makatononan.
Iman adalah dasar dari segala sesuatu yang kita harapkan dan bukti dari segala sesuatu yang tidak kita lihat.	Andhi’ iman paneka artena yakin onggu ka sabarang se earep, artena gadhuwan kapastheyan ka pa-ponapa se ta’ etengale mata.
Sebab oleh imanlah telah diberikan kesaksian kepada nenek moyang kita.	Polana andhi’ iman, reng-oreng jaman dhimen ekaleburi Allah.
Karena iman kita mengerti, bahwa alam semesta telah dijadikan oleh firman Allah, sehingga apa yang kita lihat telah terjadi dari apa yang tidak dapat kita lihat.	Polana andhi’ iman, sampeyan sareng kaula sadaja ngarte ja’ alam paneka ecepta’agi sareng dhabuna Allah; daddi, ponapa se bisa etengale, kadaddiyan dhari ponapa se ta’ bisa etengale.
Karena iman Habel telah mempersembahkan kepada Allah korban yang lebih baik dari pada korban Kain. Dengan jalan itu ia memperoleh kesaksian kepadanya, bahwa ia benar, karena Allah berkenan akan persembahannya itu dan karena iman ia masih berbicara, sesudah ia mati.	Polana gadhuwan iman, Habil ngatorragi ka Allah kurban se lebbi sae dhari kurbanna Kain. Polana imanna, Habil etarema sareng Allah menangka oreng se sae, sabab nyata Allah narema tor-atorra. Habil ampon seda, nangeng polana imanna jugan, salerana gi’ abu-dhabu kantos samangken.
Karena iman Henokh terangkat, supaya ia tidak mengalami kematian, dan ia tidak ditemukan, karena Allah telah mengangkatnya. Sebab sebelum ia terangkat, ia memperoleh kesaksian, bahwa ia berkenan kepada Allah.	Polana andhi’ iman, Henokh ta’ seda, nangeng epaongga ebakta ka Allah. Tadha’ oreng settonga se manggi salerana, sabab salerana ampon epaongga sareng Allah. E dhalem Alketab esebbuttagi ja’ sabellunna Henokh epaongga, salerana masenneng panggaliyanna Allah.
Tetapi tanpa iman tidak mungkin orang berkenan kepada Allah. Sebab barangsiapa berpaling kepada Allah, ia harus percaya bahwa Allah ada, dan bahwa Allah memberi upah kepada orang yang sungguh-sungguh mencari Dia.	Mon ta’ gadhuwan iman, tadha’ oreng se bisa masenneng panggaliyanna Allah. Sabab oreng se nyander ka Allah kodu parcaja ja’ Allah badha, ban parcaja ja’ Allah apareng babales ka oreng se nyare Salerana.
Karena iman, maka Nuh--dengan petunjuk Allah tentang sesuatu yang belum kelihatan--dengan taat mempersiapkan bahtera untuk menyelamatkan keluarganya; dan karena iman itu ia menghukum dunia, dan ia ditentukan untuk menerima kebenaran, sesuai dengan imannya.	Polana kaagungan iman, Ennoh eparenge oneng sareng Allah pa-ponapa se bakal kadaddiyana e budhi are, se ta’ eoladi salerana. Ennoh ta’at ka Allah kantos abadhi kapal se saamponna ganeka pas ekaonenge ja’ masalamet salerana ban sabalana. Kalaban sapaneka dunnya eokom, dineng Ennoh dibi’ polana imanna sareng Allah enyata’agi menangka oreng se sae.
Karena iman Abraham taat, ketika ia dipanggil untuk berangkat ke negeri yang akan diterimanya menjadi milik pusakanya, lalu ia berangkat dengan tidak mengetahui tempat yang ia tujui.	Polana kaagungan iman, Ibrahim atoro’ ka dhabuna Allah e bakto Allah makon salerana meyos ka nagara se ejanjiyagi Allah ka salerana. Ibrahim laju meyos ta’ kalaban oneng meyosa ka ka’imma.
Karena iman ia diam di tanah yang dijanjikan itu seolah-olah di suatu tanah asing dan di situ ia tinggal di kemah dengan Ishak dan Yakub, yang turut menjadi ahli waris janji yang satu itu.	Kalaban imanna Ibrahim daddi oreng manca e nagara se ejanjiyagi Allah ka salerana. Ibrahim alenggi e ka’issa’ e dhalem kemah. Sapaneka jugan Ishak sareng Yakub se narema janji se padha dhari Allah.
Sebab ia menanti-nantikan kota yang mempunyai dasar, yang direncanakan dan dibangun oleh Allah.	Sabab Ibrahim teppa’na anante’ kottha se erancana’agi ban se epaddek Allah kalaban ngangguy dhasar se koko.
Karena iman ia juga dan Sara beroleh kekuatan untuk menurunkan anak cucu, walaupun usianya sudah lewat, karena ia menganggap Dia, yang memberikan janji itu setia.	Polana kaagungan iman, Ibrahim bisa kaagungan pottra dhari Sara, maske Ibrahim ampon ce’ seppona ban Sara dibi’ jubeng. Ibrahim yakin ja’ Allah tanto neptebbi janjina.
Itulah sebabnya, maka dari satu orang, malahan orang yang telah mati pucuk, terpancar keturunan besar, seperti bintang di langit dan seperti pasir di tepi laut, yang tidak terhitung banyaknya.	Sanare Ibrahim e bakto ganeka akadi oreng se ampon mate badanna, nangeng salerana olle katoronan se ta’ kabilang bannya’na akadi bannya’na bintang e langnge’ ban beddhi e penggir sereng.
Dalam iman mereka semua ini telah mati sebagai orang-orang yang tidak memperoleh apa yang dijanjikan itu, tetapi yang hanya dari jauh melihatnya dan melambai-lambai kepadanya dan yang mengakui, bahwa mereka adalah orang asing dan pendatang di bumi ini.	Reng-oreng ganeka sadaja paggun neggu’i imanna kantos pasedana. Reng-oreng ganeka ta’ narema pa-ponapa se ejanjiyagi Allah, nangeng coma nengale ban narema dhari jauna. Kalaban ganeka reng-oreng buru anyata’agi ja’ aba’na namong oreng manca e bume paneka.
Sebab mereka yang berkata demikian menyatakan, bahwa mereka dengan rindu mencari suatu tanah air.	Oreng se adhabu sapaneka noduwagi kalaban terrang ja’ aba’na teppa’na nyare nagara se daddiya tana aerra dibi’.
Dan kalau sekiranya dalam hal itu mereka ingat akan tanah asal, yang telah mereka tinggalkan, maka mereka cukup mempunyai kesempatan untuk pulang ke situ.	Banne nagara se ampon eonduri ka’issa’ se epekkere reng-oreng ganeka. Sabab manabi sapaneka, reng-oreng ganeka ampon kaagungan kasempadan bannya’ kaangguy abali ka nagara ganeka.
Tetapi sekarang mereka merindukan tanah air yang lebih baik yaitu satu tanah air sorgawi. Sebab itu Allah tidak malu disebut Allah mereka, karena Ia telah mempersiapkan sebuah kota bagi mereka.	Nangeng nyatana reng-oreng ganeka talebat ngarep nagara se lebbi sae, enggi paneka nagara se e sowarga. Ganeka sababba Allah ta’ todhus manabi reng-oreng ganeka nyebbut Salerana Allahna, sabab Allah ampon nyadhiya’agi kottha kaangguy reng-oreng ganeka.
Karena iman maka Abraham, tatkala ia dicobai, mempersembahkan Ishak. Ia, yang telah menerima janji itu, rela mempersembahkan anaknya yang tunggal,	Jugan polana kaagungan iman Ibrahim ngatorragi Ishak menangka kurban e bakto eoji sareng Allah. Allah apareng janjina ka Ibrahim, nangeng Ibrahim ehlas massra’agi pottrana se namong settong tadha’ pole.
walaupun kepadanya telah dikatakan: "Keturunan yang berasal dari Ishaklah yang akan disebut keturunanmu."	Allah ampon adhabu ka Ibrahim, "Lebat Ishak reya ba’na bakal olleya katoronan se ejanjiyagi Sengko’ ka ba’na."
Karena ia berpikir, bahwa Allah berkuasa membangkitkan orang-orang sekalipun dari antara orang mati. Dan dari sana ia seakan-akan telah menerimanya kembali.	Ibrahim yakin ja’ Allah tanto sanggup maodhi’ Ishak pole dhari sedana — daddi, ekenneng koca’ Ibrahim narema Ishak pole dhari sedana.
Karena iman maka Ishak, sambil memandang jauh ke depan, memberikan berkatnya kepada Yakub dan Esau.	Polana kaagungan iman, Ishak ajanjiyagi kat-berkat ka Yakub sareng Esau kaangguy e budhi arena.
Karena iman maka Yakub, ketika hampir waktunya akan mati, memberkati kedua anak Yusuf, lalu menyembah sambil bersandar pada kepala tongkatnya.	Polana kaagungan iman, sabellunna seda Yakub apareng berkadda ka tra-pottrana Yusup — sambi nyandhar ka pentholla tekkenna sarta nyemba ka Allah.
Karena iman maka Yusuf menjelang matinya memberitakan tentang keluarnya orang-orang Israel dan memberi pesan tentang tulang-belulangnya.	Polana kaagungan iman, Yusup e bakto para’ seda’a abu-dhabu parkara ommat Isra’il dhari Messer ban apessen kodu epakadi ponapa jinazana.
Karena iman maka Musa, setelah ia lahir, disembunyikan selama tiga bulan oleh orang tuanya, karena mereka melihat, bahwa anak itu elok rupanya dan mereka tidak takut akan perintah raja.	Polana kaagungan iman oreng towana Mosa ngerrep pottrana ganeka kantos aomor tello bulan abidda saamponna lahir ka dunnya. Oreng towa ganeka ngoladi ja’ Mosa ganeka bagus robana, ban se kadhuwa ganeka ta’ tako’ nerrak papakonna rato.
Karena iman maka Musa, setelah dewasa, menolak disebut anak puteri Firaun,	Polana kaagungan iman, saamponna raja Mosa ta’ kasokan esebbut pottrana pottrena rato Messer.
karena ia lebih suka menderita sengsara dengan umat Allah dari pada untuk sementara menikmati kesenangan dari dosa.	Salerana asoka’an nanggung sangsara asareng ommadda Allah se laen katembang odhi’ dusa se madhateng kane’madan ban kasennengngan se coma kaangguy sabatara.
Ia menganggap penghinaan karena Kristus sebagai kekayaan yang lebih besar dari pada semua harta Mesir, sebab pandangannya ia arahkan kepada upah.	Mosa arassa lebbi aji eya-seya bit asmana Rato Panyalamet se ejanjiyagi Allah ganeka katembang ngaolle sadajana hartana nagara Messer sabab Mosa ngarep opa e budhi are.
