Tiga tahun lamanya orang tinggal aman dengan tidak ada perang antara Aram dan Israel.	Dhu taon lebbi tadha’ perrang e antarana Isra’il ban Siria.
Juga semua nabi itu bernubuat demikian, katanya: "Majulah ke Ramot-Gilead, dan engkau akan beruntung; TUHAN akan menyerahkannya ke dalam tangan raja."	Bi-nabbi laenna padha panemmona, pas ngoca’, "Ngereng serbu Ramot, junandalem tanto ahasel. PANGERAN tanto apareng kamennangan ka junandalem."
Suruhan yang pergi memanggil Mikha itu, berkata kepadanya: "Ketahuilah, nabi-nabi itu sudah sepakat meramalkan yang baik bagi raja, hendaklah engkau juga berbicara seperti salah seorang dari pada mereka dan meramalkan yang baik."	Sabatara jareya otosan se ngone’e Mikha ngoca’ ka Mikha, "Bi-nabbi se laen aramallagi ja’ rato badhi mennanga. Kadiya panjennengngan apareng ramalan se sae jugan akadi se laen."
Tetapi Mikha menjawab: "Demi TUHAN yang hidup, sesungguhnya, apa yang akan difirmankan TUHAN kepadaku, itulah yang akan kukatakan."	Tape Mikha nyaot, "Bit asmana PANGERAN se odhi’, sengko’ pera’ ngoca’agiya se edhabuwagi PANGERAN ka sengko’!"
Setelah ia sampai kepada raja, bertanyalah raja kepadanya: "Mikha, apakah kami boleh pergi berperang melawan Ramot-Gilead atau kami membatalkannya?" Jawabnya kepadanya: "Majulah dan engkau akan beruntung, sebab TUHAN akan menyerahkannya ke dalam tangan raja."	Sanapa’na Mikha ka ajunanna Rato Ahab, rato atanya, "Apa sengko’ ban Rato Yosafat olle nyerrang Ramot?" "Kengeng!" saodda Mikha. "Junandalem bakal ahasela. PANGERAN badhi apareng kamennangan ka junandalem."
Tetapi raja berkata kepadanya: "Sampai berapa kali aku menyuruh engkau bersumpah, supaya engkau mengatakan kepadaku tidak lain dari kebenaran demi nama TUHAN?"	Saodda Ahab, "Mon ba’na acaca ka sengko’ bit asmana PANGERAN, mara ngoca’ pabendher. Barampa kale ba’na kodu epaenga’ parkara jareya?"
Lalu jawabnya: "Telah kulihat seluruh Israel bercerai-berai di gunung-gunung seperti domba-domba yang tidak mempunyai gembala, sebab itu TUHAN berfirman: Mereka ini tidak punya tuan; baiklah masing-masing pulang ke rumahnya dengan selamat."	Saodda Mikha, "Abdidalem nengale tantara Isra’il car-kalacer e nong-gunong akadi dumba se tadha’ oreng ngowanna. PANGERAN adhabu kadi ka’dhinto, ‘Reng-oreng reya tadha’ pamimpinna; dina me’ olle mole sampe’ salamet ka bengkona.’"
Kemudian raja Israel berkata kepada Yosafat: "Bukankah telah kukatakan kepadamu: Tidak pernah ia menubuatkan yang baik tentang aku, melainkan hanya malapetaka?"	Dhabuna Ahab ka Yosafat, "Gu ta’ lerres ca’epon kaula? Ramalanna parkara kaula ta’ oneng sae! Juba’ terros!"
Kata Mikha: "Sebab itu dengarkanlah firman TUHAN. Aku telah melihat TUHAN sedang duduk di atas takhta-Nya dan segenap tentara sorga berdiri di dekat-Nya, di sebelah kanan-Nya dan di sebelah kiri-Nya.	Atorra Mikha pole, "Samangken ngereng peyarsa’agi ponapa se edhabuwagi PANGERAN! Abdidalem nengale PANGERAN alenggi e tahtana e sowarga, para malaekat ngadek e seddi’annepon.
Dan TUHAN berfirman: Siapakah yang akan membujuk Ahab untuk maju berperang, supaya ia tewas di Ramot-Gilead? Maka yang seorang berkata begini, yang lain berkata begitu.	PANGERAN mareksane, ‘Sapa se nyaca’ana Ahab sopaja Ahab jareya endha’ aperrang ban mate e Ramot e Gileyad?’ Saodda kat-malaekat gapaneka acem-macem.
Kemudian tampillah suatu roh, lalu berdiri di hadapan TUHAN. Ia berkata: Aku ini akan membujuknya. TUHAN bertanya kepadanya: Dengan apa?	Dhi-budhina badha settong erroh se maju, nyander ka seddi’annepon PANGERAN, laju mator, ‘Abdidalem se nyaca’ana.’
Jawabnya: Aku akan keluar dan menjadi roh dusta dalam mulut semua nabinya. Ia berfirman: Biarlah engkau membujuknya, dan engkau akan berhasil pula. Keluarlah dan perbuatlah demikian!	‘Baramma carana?’ dhabuna PANGERAN. Saodda erroh gapaneka, ‘Sareng abdidalem para nabbi epangoca’a ta’ salerressa sadaja.’ Dhabuna PANGERAN, ‘Iya, kassa’ lakone, ba’na tanto ahasel nyacae Ahab.’"
Karena itu, sesungguhnya TUHAN telah menaruh roh dusta ke dalam mulut semua nabimu ini, sebab TUHAN telah menetapkan untuk menimpakan malapetaka kepadamu."	Mikha pas mator pole, "Ka’dhinto se salerressa! Sareng PANGERAN bi-nabbi ka’dhinto epalecek ka junandalem sabab PANGERAN ampon nantowagi neba’agiya balai ka junandalem!"
Sesudah itu tampillah Zedekia bin Kenaana, ditamparnyalah pipi Mikha serta berkata: "Mana boleh Roh TUHAN pindah dari padaku untuk berbicara kepadamu?"	Nabbi Zedekiya maju ka seddi’anna Mikha, Mikha pas etamper mowana, ca’na Zedekiya jareya, "Masa’ Errohna PANGERAN adinggallagiya sengko’ ban abu-dhabu ka ba’na?"
Tetapi Mikha menjawab: "Sesungguhnya engkau akan melihatnya pada hari engkau lari dari satu kamar ke kamar yang lain untuk menyembunyikan diri."	Saodda Mikha, "Dhaggi’ sampeyan oneng dibi’ ka buktena mon sampeyan entar ngetek ka settong kamar."
Berkatalah raja Israel: "Tangkaplah Mikha, bawa dia kembali kepada Amon, penguasa kota, dan kepada Yoas, anak raja,	"Tangkep oreng jareya!" dhabuna Rato Ahab, "pas giba ka Amon, walikota, ban ka Pangeran Yowas.
dan katakan: Beginilah titah raja: Masukkan orang ini dalam penjara dan beri dia makan roti dan minum air serba sedikit sampai aku pulang dengan selamat."	Kabala soro pamaso’ ka penjara, soro pakane sakone’, berri’i ngenom sakone’ bai sampe’ sengko’ dhateng salamet dhari paperrangan."
Tetapi jawab Mikha: "Jika benar-benar engkau pulang dengan selamat, tentulah TUHAN tidak berfirman dengan perantaraanku!" Lalu disambungnya: "Dengarlah, hai bangsa-bangsa sekalian!"	Dhabuna Mikha, "Manabi junandalem salamet gubar dhari paperrangan, artena PANGERAN ta’ abu-dhabu sareng abdidalem! Sadaja se badha e ka’dhinto samangken menangka saksena!"
Sesudah itu majulah raja Israel dengan Yosafat, raja Yehuda, ke Ramot-Gilead.	Saellana jareya Ahab rato Isra’il ban Yosafat rato Yehuda, mangkat nyerrang kottha Ramot e Gileyad.
Raja Israel berkata kepada Yosafat: "Aku akan menyamar dan masuk pertempuran, tetapi engkau, pakailah pakaian kebesaranmu." Lalu menyamarlah raja Israel, kemudian masuk ke pertempuran.	Dhabuna Ahab ka Yosafat, "Kaula noro’a aperrang tape nyamara, sampeyan ngagem rasogan kabessaranna." Daddi rato Isra’il jareya nyamar entar aperrang.
Adapun raja negeri Aram telah memberi perintah kepada para panglima pasukan keretanya, tiga puluh dua orang banyaknya, demikian: "Janganlah kamu berperang melawan sembarang orang, melainkan melawan raja Israel saja."	E bakto jareya panglima pasukanna kareta perrangnga Siria se tello polo dhuwa’ oreng, bi’ ratona eparenta’agi nyerrang rato Isra’il malolo.
Segera sesudah para panglima pasukan kereta itu melihat Yosafat, mereka berkata: "Itu pasti raja Israel!" Lalu majulah mereka untuk menyerang dia, tetapi Yosafat berteriak.	Daddi, e bakto nangale’e Rato Yosafat, para panglimana pasukan Siria nyangka jareya rato Isra’il; Yosafat laju eserrang. Tape Yosafat acerreng,
Segera sesudah para panglima pasukan kereta itu melihat, bahwa dia bukanlah raja Israel, maka undurlah mereka dari padanya.	daddi para panglima jareya pas apangrasa ja’ jareya banne rato Isra’il, daddi pas ambu se nyerrang.
Tetapi seseorang menarik panahnya dan menembak dengan sembarangan saja dan mengenai raja Israel di antara sambungan baju zirahnya. Kemudian ia berkata kepada pengemudi keretanya: "Putar! Bawa aku keluar dari pertempuran, sebab aku sudah luka."	Kabendherran badha parjurit Siria ngocol panana ban-saromban, tadha’ se etojju. Pana jareya ngenneng ka Ahab terbas e bagiyan sambunganna pangangguy perrangnga. "Sengko’ ekenneng!" cerrengnga Ahab ka kusirra karetana. "Poter, giba sengko’ kalowar dhari paperrangan reya!"
Tetapi pertempuran itu bertambah seru pada hari itu, dan raja tetap ditopang berdiri di dalam kereta berhadapan dengan orang Aram itu, sampai ia mati pada waktu petang. Darahnya mengalir dari lukanya ke dalam palung kereta.	Tape sarrena paperrangan gi’ ta’ ambu, Rato Ahab paggun ngadek e karena perrangnga sambi etagenne ngadhep ka tantara Siria. Dharana agili dhari lokana, ngambang e dhasarra karetana. E baja asar Ahab seda.
Kira-kira pada waktu matahari terbenam terdengarlah teriakan di sepanjang barisan tentara itu: "Masing-masing ke kotanya, masing-masing ke negerinya!	E bakto para’ compet are pasukan Isra’il eparenta’agi mole kabbi ka kotthana ban dhaerana bang-sebang,
Raja sudah mati!" Maka pulanglah mereka ke Samaria, lalu mereka menguburkan raja di Samaria.	polana ratona la seda. Reng-oreng Isra’il padha mole pas nyareyagi jinazana Ahab e Samaria.
Ketika kereta itu dicuci di tepi telaga Samaria, maka darah raja dijilat anjing, sedang perempuan-perempuan sundal mandi di tempat itu, sesuai dengan firman TUHAN yang telah diucapkan-Nya.	E bakto karetana eberse’e e taman Samaria, del-sondel babine’an teppa’na padha mandhi e jadhiya, dharana Ahab e karetana ejilat te’-pate’, cocok akantha se la edhabuwagi PANGERAN.
Selebihnya dari riwayat Ahab dan segala yang dilakukannya serta istana gading dan segala kota yang didirikannya, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Israel?	Careta laenna parkara Rato Ahab, parkara karaton gaddhing ban tha-kottha se epaddek salerana, la ecathet e dhalem ketab Sajarana To-Rato Isra’il.
Demikianlah Ahab mendapat perhentian bersama-sama dengan nenek moyangnya. Maka Ahazia, anaknya, menjadi raja menggantikan dia.	Saellana Ahab seda, pas egante pottrana se anyama Ahaziya.
Yosafat, anak Asa, menjadi raja atas Yehuda dalam tahun keempat zaman Ahab, raja Israel.	E taon se kapeng empa’ pamarenta’anna Ahab rato Isra’il, Yosafat pottrana Asa jumenneng rato e Yehuda.
Yosafat berumur tiga puluh lima tahun pada waktu ia menjadi raja dan dua puluh lima tahun lamanya ia memerintah di Yerusalem. Nama ibunya ialah Azuba, anak Silhi.	E bakto jareya yuswana tello polo lema’ taon. Se marenta e Yerusalim sagame’ taon abidda. Ebuna iya areya Azuba pottrana Silhi.
Ia hidup mengikuti jejak Asa, ayahnya; ia tidak menyimpang dari padanya dan melakukan apa yang benar di mata TUHAN.  Hanya bukit-bukit pengorbanan tidak dijauhkan. Orang masih mempersembahkan dan membakar korban di bukit-bukit itu. Dan Yosafat hidup dalam damai dengan raja Israel. Selebihnya dari riwayat Yosafat dan kepahlawanan yang dilakukannya dan bagaimana ia berperang, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Yehuda? Dan sisa pelacuran bakti yang masih tinggal dalam zaman Asa, ayahnya, dihapuskannya dari negeri itu. Tidak ada raja di Edom, karena itu yang menjadi raja ialah seorang kepala daerah. Yosafat membuat kapal-kapal Tarsis untuk pergi ke Ofir mengambil emas, tetapi kapal-kapal itu tidak jadi pergi ke sana, sebab kapal-kapal itu pecah di Ezion-Geber. Pada waktu itu Ahazia, anak Ahab, berkata kepada Yosafat: "Baiklah anak buahku pergi bersama-sama anak buahmu dengan kapal-kapal itu." Tetapi Yosafat tidak mau. Kemudian Yosafat mendapat perhentian bersama-sama dengan nenek moyangnya, dan ia dikuburkan di samping nenek moyangnya di kota Daud, bapa leluhurnya. Maka Yoram, anaknya, menjadi raja menggantikan dia.	Akantha ramana, Asa, Yosafat, alampa’agi pa-apa se bagus e dhalem pangoladanna PANGERAN. Del-sondel lalake’an ban babine’an se atugas e man-dhimman e kennengnganna panyemba’anna brahala re-karena dhari jamanna Asa, ramana, epatadha’ dhari karaja’anna. Tape kennengnganna panyemba’an jareya dibi’ padha tadha’ se epaancora. Ra’yat gi’ ngeba kurban ban ngobbar mennyan ka jadhiya. Yosafat abadhi pal-kapal Tarsis epangala’a emmas dhari Ofir, tape pal-kapal jareya burung se alajara polana rosak e Ezion-Geber. Rato Ahaziya dhari Isra’il matabar para bandhigana kapal Isra’il epalajara abarengngana bandhigana kapalla Yosafat, tape Yosafat nolak maske hubunganna bagus ban rato Isra’il. Saellana jareya Yosafat seda laju esareyagi e pasareyanna to-rato e Kottha Daud. Se agante jumenneng rato iya areya pottrana se anyama Yoram. Careta laenna parkara Yosafat, parkara kapahlawananna ban paperrangan-paperranganna, ecathet e dhalem ketab Sajarana To-rato Yehuda. E jaman jareya nagara Edom ta’ andhi’ rato. Se marenta e jadhiya kapala dhaera se eangkat bi’ rato Yehuda.
Ahazia, anak Ahab, menjadi raja atas Israel di Samaria dalam tahun ketujuh belas zaman Yosafat, raja Yehuda, dan ia memerintah atas Israel dua tahun lamanya.	E taon se kapeng petto bellas pamarenta’anna Rato Yosafat dhari Yehuda, Ahaziya, pottrana Ahab jumenneng rato Isra’il, laju marenta Isra’il dhu taon abidda e Samaria.
Ia melakukan apa yang jahat di mata TUHAN dan hidup menurut kelakuan ayahnya dan ibunya dan Yerobeam bin Nebat, yang telah mengakibatkan orang Israel berdosa.	Ahaziya agabay dusa ka PANGERAN, nero rama ebuna ban Rato Yerobeyam se daddi lantaranna oreng Isra’il alako dusa ka PANGERAN.
Ia beribadah kepada Baal dan sujud menyembah kepadanya dan dengan demikian ia menimbulkan sakit hati TUHAN, Allah Israel, tepat seperti yang dilakukan ayahnya.	Ahaziya nyemba ban ngabdi ka Ba’al. Ban akantha ramana se marenta sabellunna, rato jareya andaddiyagi keya dukana PANGERAN, Allah se esemba oreng Isra’il.
Sesudah itu terjadilah hal yang berikut. Nabot, orang Yizreel, mempunyai kebun anggur di Yizreel, di samping istana Ahab, raja Samaria.	E seddi’anna karatonna Rato Ahab e Yizre’el badha settong kebbun anggur andhi’na oreng se anyama Nabot.
Berkatalah Ahab kepada Nabot: "Berikanlah kepadaku kebun anggurmu itu, supaya kujadikan kebun sayur, sebab letaknya dekat rumahku. Aku akan memberikan kepadamu kebun anggur yang lebih baik dari pada itu sebagai gantinya, atau jikalau engkau lebih suka, aku akan membayar harganya kepadamu dengan uang."	E settong are Ahab adhabu ka Nabot, "Mara, ra, kebbunna anggurra ba’na jareya bagi ka sengko’, sabab kebbun jareya semma’ ka tang karaton. Ban sengko’ kebbun jareya terro etamennana ngan-ganganan. Bi’ sengko’ ba’na eganteyana kebbunna anggur se abecce’an, otabana, mon ba’na endha’, bi’ sengko’ kebbunna jareya ebelliya bai kalaban arga se pantes!"
Jawab Nabot kepada Ahab: "Kiranya TUHAN menghindarkan aku dari pada memberikan milik pusaka nenek moyangku kepadamu!"	Nabot nyaot, "Kebbunna anggur ka’dhinto dadinggalannepon bangatowa abdidalem. Bit asmaepon Allah, abdidalem ta’ kengeng ngatorragi kebbun ka’dhinto ka junandalem."
Lalu masuklah Ahab ke dalam istananya dengan kesal hati dan gusar karena perkataan yang dikatakan Nabot, orang Yizreel itu, kepadanya: "Tidak akan kuberikan kepadamu milik pusaka nenek moyangku." Maka berbaringlah ia di tempat tidurnya dan menelungkupkan mukanya dan tidak mau makan.	Ahab duka panggaliyanna meyarsa oca’na Nabot jareya, laju gubar. Sanapa’na ka karaton laju marobbu e pasareyanna, addhep ka geddhung ban ta’ kasokan adha’ar.
Lalu datanglah Izebel, isterinya, dan berkata kepadanya: "Apa sebabnya hatimu kesal, sehingga engkau tidak makan?"	Izebel rajina, nyander ka seddi’anna pas atanya, "Aponapa sampeyan me’ apeggellan? Aponapa me’ ta’ kasokan adha’ar?"
Lalu jawabnya kepadanya: "Sebab aku telah berkata kepada Nabot, orang Yizreel itu: Berikanlah kepadaku kebun anggurmu dengan bayaran uang atau jika engkau lebih suka, aku akan memberikan kebun anggur kepadamu sebagai gantinya. Tetapi sahutnya: Tidak akan kuberikan kepadamu kebun anggurku itu."	Saodda Ahab, "Sengko’ peggel ka Nabot. Bi’ sengko’ kebbun anggurra ebelliya, otabana eporobana kebbun anggur laen mon pajat jareya se ekakarep, tape Nabot ta’ endha’ magi!"
Kata Izebel, isterinya, kepadanya: "Bukankah engkau sekarang yang memegang kuasa raja atas Israel? Bangunlah, makanlah dan biarlah hatimu gembira! Aku akan memberikan kepadamu kebun anggur Nabot, orang Yizreel itu."	"Sampeyan gu ta’ rato Isra’il?" dhabuna Izebel. "Tore abungo pas adha’ar. Pasenneng panggaliyanna. Kaula se ngatorragiya kebbunna Nabot ganeka ka sampeyan."
Kemudian ia menulis surat atas nama Ahab, memeteraikannya dengan meterai raja, lalu mengirim surat itu kepada tua-tua dan pemuka-pemuka yang diam sekota dengan Nabot.	Izebel laju noles sorat attas asmana rato, sorat jareya epasange segella rato, pas ekerem ka para pamimpin ban pin-pamimpinna masarakat e Yizre’el.
Dalam surat itu ditulisnya demikian: "Maklumkanlah puasa dan suruhlah Nabot duduk paling depan di antara rakyat.	Essena sorat jareya kantha reya, "Omommagi ka ra’yat soro apowasa kabbi, soro akompol kabbi ra’yat jareya! Nabot berri’i kennengngan se pantes.
Suruh jugalah dua orang dursila duduk menghadapinya, dan mereka harus naik saksi terhadap dia, dengan mengatakan: Engkau telah mengutuk Allah dan raja. Sesudah itu bawalah dia ke luar dan lemparilah dia dengan batu sampai mati."	Padhateng oreng jahat kadhuwa soro entar ka adha’anna Nabot, soro ngarane ja’ Nabot abasto Allah ban rato. Pas giba Nabot jareya ka lowarra kottha, garujuk pasampe’ mate."
Orang-orang sekotanya, yakni tua-tua dan pemuka-pemuka, yang diam di kotanya itu, melakukan seperti yang diperintahkan Izebel kepada mereka, seperti yang tertulis dalam surat yang dikirimkannya kepada mereka.	Papakonna Izebel jareya etoro’ bi’ para pamimpin ban pin-pamimpinna masarakat e Yizre’el.
Mereka memaklumkan puasa dan menyuruh Nabot duduk paling depan di antara rakyat.	Ra’yat eparenta’agi sopaja apowasa, kabbi pas padha epakompol. Nabot eberri’i kennengngan se pantes.
Kemudian datanglah dua orang, yakni orang-orang dursila itu, lalu duduk menghadapi Nabot. Orang-orang dursila itu naik saksi terhadap Nabot di depan rakyat, katanya: "Nabot telah mengutuk Allah dan raja." Sesudah itu mereka membawa dia ke luar kota, lalu melempari dia dengan batu sampai mati.	Oreng jahat kadhuwa epatoju’ dhep-adhebban ban Nabot. E adha’anna oreng se bannya’ jareya oreng jahat gella’ ngarane Nabot abasto Allah ban rato. Daddi Nabot pas egiba ka lowarra kottha ban egarujuk ban bato sampe’ mate.
Setelah itu mereka menyuruh orang kepada Izebel mengatakan: "Nabot sudah dilempari sampai mati."	Kabar ja’ Nabot la epate’e jareya epanapa’ ka Izebel.
Segera sesudah Izebel mendengar, bahwa Nabot sudah dilempari sampai mati, berkatalah Izebel kepada Ahab: "Bangunlah, ambillah kebun anggur Nabot, orang Yizreel itu, menjadi milikmu, karena Nabot yang menolak memberikannya kepadamu dengan bayaran uang, sudah tidak hidup lagi; ia sudah mati."	Buru meyarsa kabar jareya, Izebel adhabu ka Ahab, "Nabot ampon mate. Samangken pondhut kebbun anggurra se ta’ eatorragi epondhuda sampeyan."
Segera sesudah Ahab mendengar, bahwa Nabot sudah mati, ia bangun dan pergi ke kebun anggur Nabot, orang Yizreel itu, untuk mengambil kebun itu menjadi miliknya.	Ahab pas duli mangkat mondhut kebbun anggurra Nabot jareya.
Tetapi datanglah firman TUHAN kepada Elia, orang Tisbe itu, bunyinya:	Dhabuna PANGERAN ka Eliya, nabbi se asalla dhari Tisbe rowa,
"Bangunlah, pergilah menemui Ahab, raja Israel yang di Samaria. Ia telah pergi ke kebun anggur Nabot untuk mengambil kebun itu menjadi miliknya.	"Ahab, rato Samaria rowa sateya badha e kebbun anggurra Nabot ngala’a kebbun jareya. Kassa’ ba’na entar dha’ essa’.
Katakanlah kepadanya, demikian: Beginilah firman TUHAN: Engkau telah membunuh serta merampas juga! Katakan pula kepadanya: Beginilah firman TUHAN: Di tempat anjing telah menjilat darah Nabot, di situ jugalah anjing akan menjilat darahmu."	Kabala ka Ahab ja’ Sengko’, PANGERAN, ngoca’ kantha reya, ‘Sala mate’e, gi’ arampas dhi’-andhi’na oreng! Daddi dharana ba’na bakal ejilada te’-pate’ e kennengnganna te’-pate’ se ajilat dharana Nabot!’"
Kata Ahab kepada Elia: "Sekarang engkau mendapat aku, hai musuhku?" Jawabnya: "Memang sekarang aku mendapat engkau, karena engkau sudah memperbudak diri dengan melakukan apa yang jahat di mata TUHAN.	E bakto ngoladi Eliya, Ahab adhabu, "He, moso, dhi-budhina ba’na tatemmo keya ban sengko’!" "Lerres," dhabuna Eliya. "Amarga junandalem alampa’agi barang se juba’ e dhalem pangoladanna PANGERAN,
Sesungguhnya, Aku akan mendatangkan malapetaka kepadamu, Aku akan menyapu engkau dan melenyapkan setiap orang laki-laki dari keluarga Ahab, baik yang tinggi maupun yang rendah kedudukannya di Israel.	daddi Pangeran adhabu kadi ka’dhinto ka junandalem, ‘Sengko’ madhatengnga balai ka ba’na. Bi’ Sengko’ ba’na ebuwanga, sakabbinna lalake’ e dhalem kalowargana ba’na, se towa ban se kana’, bi’ Sengko’ epamosna’a.
Dan Aku akan memperlakukan keluargamu sama seperti keluarga Yerobeam bin Nebat dan seperti keluarga Baesa bin Ahia, oleh karena engkau menimbulkan sakit hati-Ku, dan oleh karena engkau mengakibatkan orang Israel berbuat dosa.	Kalowargana ba’na bakal padha’a ban kalowargana Rato Yerobeyam ana’na Nebat, bakal padha’a ban kalowargana Rato Baesa ana’na Ahiya, sabab ba’na madusa reng-oreng Isra’il sampe’ mapeggel Sengko’.’
Juga mengenai Izebel TUHAN telah berfirman: Anjing akan memakan Izebel di tembok luar Yizreel.	Manabi Izebel, menorot dhabuna PANGERAN badannepon bakal ekakana pate’ e dhalem kottha Yizre’el.
Siapa dari keluarga Ahab yang mati di kota akan dimakan anjing dan yang mati di padang akan dimakan burung di udara."	Pasera’a saos dhari anggotana kalowargaepon junandalem se seda e kottha bakal ekakana pate’, dineng se seda e lowarra kottha bakal ekakana mano’."
Sesungguhnya tidak pernah ada orang seperti Ahab yang memperbudak diri dengan melakukan apa yang jahat di mata TUHAN, karena ia telah dibujuk oleh Izebel, isterinya.	Tadha’ oreng laen se ajalannagi kajahadan se menorot pangoladanna PANGERAN padha ban Ahab. Kajahadan jareya elakone ollena Izebel, rajina.
Bahkan ia telah berlaku sangat keji dengan mengikuti berhala-berhala, tepat seperti yang dilakukan oleh orang Amori yang telah dihalau TUHAN dari depan orang Israel.	Ahab alampa’agi sa-dusa se ce’ juba’na: nyemba ka brahala akantha oreng Amori, iya areya reng-oreng se la eojuk bi’ PANGERAN epakalowar dhari nagara Kana’an e bakto oreng Isra’il maso’ ka nagara jareya.
Segera sesudah Ahab mendengar perkataan itu, ia mengoyakkan pakaiannya, mengenakan kain kabung pada tubuhnya dan berpuasa. Bahkan ia tidur dengan memakai kain kabung, dan berjalan dengan langkah lamban.	Samarena Eliya abu-dhabu, Ahab nyebbit rasoganna pas ngagem rasogan karong menangka tandha atobat, pas aseyam. E bakto asaren terros paggun ngagem rasogan karong, mon alomampa mowana orem terros.
Lalu datanglah firman TUHAN kepada Elia, orang Tisbe itu:	Dhabuna PANGERAN ka Nabbi Eliya,
"Sudahkah kaulihat, bahwa Ahab merendahkan diri di hadapan-Ku? Oleh karena ia telah merendahkan diri di hadapan-Ku, maka Aku tidak akan mendatangkan malapetaka dalam zamannya; barulah dalam zaman anaknya Aku akan mendatangkan malapetaka atas keluarganya."	"Apa ba’na nangale’e baramma Ahab marendha aba’na e adha’anna Sengko’? Sarrena Ahab la atobat Sengko’ burung ta’ madhatengnga balai ka aba’na saabidda gi’ odhi’ e dunnya reya. Calaka’ balai jareya bi’ Sengko’ buru epadhatengnga ka ana’ binena."
