Doa nabi Habakuk. Menurut nada ratapan.	Reya du’ana Nabbi Habakuk:
Ketika aku mendengarnya, gemetarlah hatiku, mendengar bunyinya, menggigillah bibirku; tulang-tulangku seakan-akan kemasukan sengal, dan aku gemetar di tempat aku berdiri; namun dengan tenang akan kunantikan hari kesusahan, yang akan mendatangi bangsa yang bergerombolan menyerang kami.	E bakto mereng gapaneka abdidalem ngetter sabadan bibir abdidalem ngetter katako’an. Badan abdidalem pas lemmes ta’ gadhuwan kakowadan, soko dhung-tatandhung manabi ajalan. Kalaban ate ayem abdidalem anante’a kantos Allah madhateng okoman ka reng-oreng se nyerrang abdina.
Sekalipun pohon ara tidak berbunga, pohon anggur tidak berbuah, hasil pohon zaitun mengecewakan, sekalipun ladang-ladang tidak menghasilkan bahan makanan, kambing domba terhalau dari kurungan, dan tidak ada lembu sapi dalam kandang,	Sanare bungkana ara tadha’ buwana sareng bungkana anggur tadha’ anggurra, sanare tamennan jaitun ta’ ngasellagi pa-ponapa sareng saba ta’ ngasellagi gandum sakone’a, sanare ba-dumba mate sadajana sareng kandhangnga ebin tadha’ essena,
namun aku akan bersorak-sorak di dalam TUHAN, beria-ria di dalam Allah yang menyelamatkan aku.	abdidalem peraga salanjangnga, sabab Junandalem GUSTE Allah panyalamet abdidalem sadaja.
ALLAH Tuhanku itu kekuatanku: Ia membuat kakiku seperti kaki rusa, Ia membiarkan aku berjejak di bukit-bukitku. (Untuk pemimpin biduan. Dengan permainan kecapi).	Guste Allah Se Mahatenggi marenge abdidalem kakowadan akadi sokona manjangan soko abdidalem sareng Junandalem epakoko. Junandalem nonton abdidalem sopaja aman e bakto ajalan e pagunongan.
Aku mau berdiri di tempat pengintaianku dan berdiri tegak di menara, aku mau meninjau dan menantikan apa yang akan difirmankan-Nya kepadaku, dan apa yang akan dijawab-Nya atas pengaduanku.	Sengko’ nae’a ka manara tang panjaga’an, anante’a apa ba’nengan se edhabuwagiya PANGERAN ka sengko’, ban baramma dhabuna saellana meyarsa tang serro.
Lalu TUHAN menjawab aku, demikian: "Tuliskanlah penglihatan itu dan ukirkanlah itu pada loh-loh, supaya orang sambil lalu dapat membacanya.	PANGERAN adhabu ka sengko’ kantha reya, "Mara oker paterrang e papan lempong, apa se enyata’agiya Sengko’ ka ba’na, me’ olle gampang ebaca.
Sebab penglihatan itu masih menanti saatnya, tetapi ia bersegera menuju kesudahannya dengan tidak menipu; apabila berlambat-lambat, nantikanlah itu, sebab itu sungguh-sungguh akan datang dan tidak akan bertangguh.	Cathet jareya, sabab sateya gi’ banne baktona. Tape sa’at jareya tanto duli napa’, ban apa se enyata’agi Sengko’ tanto kalakon. Maske katonna gi’ abit, tape nante’ bai! Sa’at jareya masthe napa’ ban ta’ epanyoroda pole.
Sesungguhnya, orang yang membusungkan dada, tidak lurus hatinya, tetapi orang yang benar itu akan hidup oleh percayanya.	Ban kaenga’e: Oreng se jahat ta’ kera salamet, tape oreng se ajalannagi kasokanna Allah bakal odhi’a polana kaestowanna ka Allah."
Orang sombong dan khianat dia yang melagak, tetapi ia tidak akan tetap ada; ia mengangakan mulutnya seperti dunia orang mati dan tidak kenyang-kenyang seperti maut, sehingga segala suku bangsa dikumpulkannya dan segala bangsa dihimpunkannya."	Kasogiyan reya salanjangnga co-ngoco oreng. Oreng se dhakka reya angko ban ngalengsang. Padha ban maot, oreng jareya arassa korang malolo; sa-bangsa egilir ekobasae gan settong.
Bukankah sekalian itu akan melontarkan peribahasa mengatai dia, dan nyanyian olok-olok serta sindiran ini: Celakalah orang yang menggaruk bagi dirinya apa yang bukan miliknya--berapa lama lagi? --dan yang memuati dirinya dengan barang gadaian.	Tape bi’ reng-oreng se epatellok jareya oreng gella’ bakal emon-semmonana ban eco-kocowa. Reng-oreng jareya bakal ngoca’a kantha reya, "Mandar ba’na ta’ salamedda, sabab ba’na nembuk barang se banne andhi’na! Gi’ saapa pole abidda ba’na masogiya aba’na kalaban maksa reng-oreng se andhi’ otang ka ba’na sopaja majar otangnga?"
Bukankah akan bangkit dengan sekonyong-konyong mereka yang menggigit engkau, dan akan terjaga mereka yang mengejutkan engkau, sehingga engkau menjadi barang rampasan bagi mereka?	Tape ba’na ta’ apangrasa, ba’na se la matellok oreng laen, tanto aotanga keya ban bakal epaksa’a majar budhu’na. So-mosona ba’na bakal dhatengnga sampe’ ba’na katako’an. Dhi’-andhi’na ba’na bakal erampoga bi’ so-mosona jareya.
Karena engkau telah menjarah banyak suku bangsa, maka bangsa-bangsa yang tertinggal akan menjarah engkau, karena darah manusia yang tertumpah itu dan karena kekerasan terhadap negeri, kota dan seluruh penduduknya itu.	La bannya’ sa-bangsa se erampok bi’ ba’na, tape ba’na bakal erampoga keya bi’ sa-bangsa se salamet dhari ba’na, polana ba’na la mate’e oreng, ban polana kakejjemmanna ba’na ka ra-nagara, tha-kottha ban pandhudhu’na.
Celakalah orang yang mengambil laba yang tidak halal untuk keperluan rumahnya, untuk menempatkan sarangnya di tempat yang tinggi, dengan maksud melepaskan dirinya dari genggaman malapetaka!	Mandar ba’na ta’ salamedda! Ba’na masogi balana bi’ kaontongan se ekaolle kalaban jalan se kejjem, sopaja bengkona ba’na dibi’ aman ban lopot dhari kasossa’an sarta balai.
Engkau telah merancangkan cela ke atas rumahmu, ketika engkau bermaksud untuk menghabisi banyak bangsa; dengan demikian engkau telah berdosa terhadap dirimu sendiri.	Tape sajjana ba’na jareya pera’ matodhusan balana ba’na dibi’. Kalaban arampok sa-bangsa sabannya’na, ba’na marogi aba’na dibi’.
Sebab batu berseru-seru dari tembok, dan balok menjawabnya dari rangka rumah.	La’-mala’ to-bato e geddhung ra’-era’an abasto ba’na, ban ga-canggana bengko aera’ kantha jareya keya.
Celakalah orang yang mendirikan kota di atas darah dan meletakkan dasar benteng di atas ketidakadilan.	Mandar ta’ salamedda ba’na, ya! Ba’na maddek kottha edhasare kajahadan sarta kalaban mate’e reng-oreng.
Sesungguhnya, bukankah dari TUHAN semesta alam asalnya, bahwa bangsa-bangsa bersusah-susah untuk api dan suku-suku bangsa berlelah untuk yang sia-sia?	Sa-bangsa se epatellok bi’ ba’na tadha’ gunana se alako berra’, ban pa-apa se la epaddek sa-bangsa jareya obus ekello’ apoy. Jareya kabbi kasokanna PANGERAN Se Mahakobasa.
Sebab bumi akan penuh dengan pengetahuan tentang kemuliaan TUHAN, seperti air yang menutupi dasar laut.	Tape akantha tase’ raja se epossa’e ban aeng, bariya keya bume reya bakal possa’a ban pangataowan parkara PANGERAN ban kobasana.
Celakalah orang yang memberi minum sesamanya manusia bercampur amarah, bahkan memabukkan dia untuk memandang auratnya.	Mandar ta’ salamedda ba’na, ya! Ba’na ya-nyeya ban matodhus ga-tatanggana; reng-oreng jareya bi’ ba’na epadaddi akantha oreng mabu’ se dhing-tabarindhing.
Telah engkau kenyangkan dirimu dengan kehinaan ganti kehormatan. Minumlah juga engkau dan terhuyung-huyunglah. Kepadamu akan beralih piala dari tangan kanan TUHAN, dan cela besar akan meliputi kemuliaanmu.	Sateya la napa’ giliranna ba’na epamalowa oreng, banne ehormadana. Kahormadanna ba’na bakal aoba’a daddi kanespa’an. Bi’ PANGERAN ba’na bakal epaksa’a ngenom dhari piala se aesse okoman kaangguy ba’na. Ba’na bakal ngenoma ban bakal dhing-tabarindhinga.
Sebab kekerasan terhadap gunung Libanon akan menutupi engkau dan pemusnahan binatang-binatang akan mengejutkan engkau, karena darah manusia yang tertumpah itu dan karena kekerasan terhadap negeri, kota dan seluruh penduduknya itu.	Ba’na moger ka’-bungka’an e alas Libanon, ban sateya ba’na dibi’ se bakal epogerra. Ba’na mate’e ban-keban e alas jareya, ban sateya ba’na bakal tako’a ka ban-keban jareya. Jareya kabbi bakal kadaddiyana polana ba’na la mate’e reng-oreng sarta ngalakone kakejjemman ka ra-nagara, tha-kottha ban pandhudhu’na.
Apakah gunanya patung pahatan, yang dipahat oleh pembuatnya? Apakah gunanya patung tuangan, pengajar dusta itu? Karena pembuatnya percaya akan buatannya, padahal berhala-berhala bisu belaka yang dibuatnya. Celakalah orang yang berkata kepada sepotong kayu: "Terjagalah!" dan kepada sebuah batu bisu: "Bangunlah!" Masakan dia itu mengajar? Memang ia bersalutkan emas dan perak, tetapi roh tidak ada sama sekali di dalamnya.	Mandar ta’ salamedda ba’na, ya! Ba’na ngoca’ ka kaju sakerra’, "Mara jaga!" otabana ka bato se raja, "Mara manjeng!" Ba’ bisa’a arca acaca ka ba’na? Olle daddi arca jareya ekole’e emmas ban salaka, tape tadha’ nyabana. Apa gunana arca brahala? Arca jareya coma gabayanna manossa. Dhari arca jareya se ekaolle ba’na coma kalecegan malolo. Parcoma oreng se agabay brahala jareya parcaja ka barang gabayanna tanangnga dibi’, se ta’ tao acaca jareya.
Tetapi TUHAN ada di dalam bait-Nya yang kudus. Berdiam dirilah di hadapan-Nya, ya segenap bumi!	PANGERAN reya badha e dhalem Padalemmanna se socce; mara sakabbinna oreng e bume neng-enneng, ja’ acaca’an e ajunanna.
Ucapan ilahi dalam penglihatan nabi Habakuk.	Reya pessen se enyataagi bi’ PANGERAN ka Nabbi Habakuk.
Berapa lama lagi, TUHAN, aku berteriak, tetapi tidak Kaudengar, aku berseru kepada-Mu: "Penindasan!" tetapi tidak Kautolong?	Adhu GUSTE, kantos bilaepon abdidalem kodu aserro nyo’on partolongan? Bilaepon Junandalem meyarsa’agiya sareng masalamedda abdidalem dhari seksa’an?
Mengapa Engkau memperlihatkan kepadaku kejahatan, sehingga aku memandang kelaliman? Ya, aniaya dan kekerasan ada di depan mataku; perbantahan dan pertikaian terjadi.	Aponapa abdidalem sareng Junandalem me’ epanneng nengale kajahadan se talebat bannya’epon? Masa’ Junandalem kowat ngoladi talebat bannya’epon oreng se nerrak dhabuwepon Junandalem? E man-ka’dhimman badha kaancoran sareng kakerrasan, badha tokar sareng cekcok.
Itulah sebabnya hukum kehilangan kekuatannya dan tidak pernah muncul keadilan, sebab orang fasik mengepung orang benar; itulah sebabnya keadilan muncul terbalik.	Hokom ta’ eparduli oreng, dineng kaadilan ta’ oneng ejalannagi. Oreng jahat ngongkole oreng jujur, daddi kaadilan elik-balik.
Lihatlah di antara bangsa-bangsa dan perhatikanlah, jadilah heran dan tercengang-cengang, sebab Aku melakukan suatu pekerjaan dalam zamanmu yang tidak akan kamu percayai, jika diceriterakan.	PANGERAN pas adhabu ka ommadda, "Abassagi sa-bangsa e kangan-kacerra ba’na, ba’na tanto heran ban cengngeng. Sabab e jamanna ba’na badha se ejalannagiya Sengko’, se bi’ ba’na ta’ eparcaja mon pera’ ecareta’agi ka ba’na.
Sebab, sesungguhnya, Akulah yang membangkitkan orang Kasdim, bangsa yang garang dan tangkas itu, yang melintasi lintang bujur bumi untuk menduduki tempat kediaman, yang bukan kepunyaan mereka.	Bangsa Babil se galak rowa bi’ Sengko’ epadaddiya bangsa se kobasa. Bangsa jareya abaris kalowar dhari nagarana entar ka saantero bume matelloga sa-bangsa laen.
Bangsa itu dahsyat dan menakutkan; keadilannya dan keluhurannya berasal dari padanya sendiri.	Neng e man-dhimman bangsa jareya madhateng katako’an; bangsa jareya ce’ sombongnga nolak sakabbinna hokom kajabana se cocok ka pangaterrona dibi’.
Kudanya lebih cepat dari pada macan tutul, dan lebih ganas dari pada serigala pada waktu malam; pasukan berkudanya datang menderap, dari jauh mereka datang, terbang seperti rajawali yang menyambar mangsa.	Jaranna aceppeddan dhari macan toltol, ban agalagan dhari pate’ alas se lapar. Pasukan jaranna dhateng dhari ra-nagara se jau; bangsa jareya dhateng akantha mano’ ellang se nyaop mangsana.
Seluruh bangsa itu datang untuk melakukan kekerasan, serbuan pasukan depannya seperti angin timur, dan mereka mengumpulkan tawanan seperti banyaknya pasir.	Tantarana nyerrang ajalannagiya kakerrasan, oreng kabbi padha tako’ nangale padhatengnga bangsa jareya. Oreng tahananna ta’ kabitong bannya’na.
Raja-raja dicemoohkannya dan penguasa-penguasa menjadi tertawaannya. Ditertawakannya tiap tempat berkubu, ditimbunkannya tanah dan direbutnya tempat itu.	To-rato ebi-cebbi ban om-kaom oreng agung ekala’-gella’. Sakabbinna binteng ta’ eanggep; binteng jareya etembuk ban tana sarta pas erebbu’.
Maka berlarilah mereka, seperti angin dan bergerak terus; demikianlah mereka bersalah dengan mendewakan kekuatannya.	Saellana jareya reng-oreng se gung-ngagungngagi kakowadanna dibi’ jareya pas mangkat padha ban angen ceppedda."
Bukankah Engkau, ya TUHAN, dari dahulu Allahku, Yang Mahakudus? Tidak akan mati kami. Ya TUHAN, telah Kautetapkan dia untuk menghukumkan; ya Gunung Batu, telah Kautentukan dia untuk menyiksa.	GUSTE, ngabidi gi’ dhimen Junandalem ka’dhinto Allah. Junandalem Allah abdidalem se socce sareng langgeng. GUSTE, Allah abdidalem sareng pangaoban abdidalem, bangsa Babil sareng Junandalem epele sareng epakowat kaangguy ngokom abdidalem sadaja.
Mata-Mu terlalu suci untuk melihat kejahatan dan Engkau tidak dapat memandang kelaliman. Mengapa Engkau memandangi orang-orang yang berbuat khianat itu dan Engkau berdiam diri, apabila orang fasik menelan orang yang lebih benar dari dia?	Namong kadi ponapa Junandalem me’ kowat ngoladi reng-oreng jahat se kejjem ka’dhissa’? Junandalem gu ta’ talebat soccena me’ daddi ngoladi kajahadan? Junandalem gu ta’ ce’ baji’na ngoladi barang se ta’ adil? Daddi aponapa Junandalem me’ mendel saos e bakto oreng alem epaancor sareng reng-oreng se daraka?
Engkau menjadikan manusia itu seperti ikan di laut, seperti binatang-binatang melata yang tidak ada pemerintahnya?	Aponapa manossa sareng Junandalem me’ eanggep padha sareng juko’ e tase’, padha sareng sabangsana nyarowan se tadha’ pamimpinnepon?
Semuanya mereka ditariknya ke atas dengan kail, ditangkap dengan pukatnya dan dikumpulkan dengan payangnya; itulah sebabnya ia bersukaria dan bersorak-sorai.	Bangsa Babil mega’ reng-oreng ngagem panceng, akaton reng-oreng gapaneka eanggep juko’. Reng-oreng ka’dhinto eeret ngagem la-jala ban bangsa Babil anga-bunga dhari ollena hasellepon.
Itulah sebabnya dipersembahkannya korban untuk pukatnya dan dibakarnya korban untuk payangnya; sebab oleh karena alat-alat itu pendapatannya mewah dan rezekinya berlimpah-limpah.	Saamponnepon gapaneka sareng bangsa ka’dhinto jalana esemba sareng eatore tor-ator kurban, sabab kalaban jala ka’dhinto bangsa gapaneka manggi rajekke se talebat bannya’epon sareng pas daddi ma’mor.
Sebab itukah ia selalu menghunus pedangnya dan membunuh bangsa-bangsa dengan tidak kenal belas kasihan?	Masa’ bangsa ka’dhinto badhi terrosa ngonos peddhangngepon sareng mate’e sa-bangsa laennepon, ta’ gadhuwan rassa neser sakale.
