Pada mulanya Allah menciptakan langit dan bumi.	E bakto Allah nyepta’agi alam dunnya,
Jadilah petang dan jadilah pagi, itulah hari ketiga.	Malem la lebat pas agante laggu. Jareya are se kapeng tello’.
Berfirmanlah Allah: "Jadilah benda-benda penerang pada cakrawala untuk memisahkan siang dari malam. Biarlah benda-benda penerang itu menjadi tanda yang menunjukkan masa-masa yang tetap dan hari-hari dan tahun-tahun,	Saellana jareya Allah adhabu, "Mara e langnge’ kalowar rang-barang se tera’ sopaja bume tera’a, kaangguy malaen seyang dhari malem, sarta kaangguy noduwagi sa’at parmola’anna are, taon ban are rajana agama." Se edhabuwagi Allah jareya kalakon.
Maka Allah menjadikan kedua benda penerang yang besar itu, yakni yang lebih besar untuk menguasai siang dan yang lebih kecil untuk menguasai malam, dan menjadikan juga bintang-bintang.	Daddi Allah la abadhi barang tera’ se raja dhadhuwa’, iya areya are se ngobasane seyang, ban bulan se ngobasane malem, sarta tang-bintang.
Allah menaruh semuanya itu di cakrawala untuk menerangi bumi,	Jareya kabbi bi’ Allah esaba’ e langnge’ epanera’e bume,
dan untuk menguasai siang dan malam, dan untuk memisahkan terang dari gelap. Allah melihat bahwa semuanya itu baik.	epangobasae seyang ban malem, sarta kaangguy malaen se tera’ dhari se petteng. Ban Allah senneng ngoladi jareya.
Jadilah petang dan jadilah pagi, itulah hari keempat.	Malem la lebat pas agante laggu. Jareya are se kapeng empa’.
Berfirmanlah Allah: "Hendaklah dalam air berkeriapan makhluk yang hidup, dan hendaklah burung beterbangan di atas bumi melintasi cakrawala."	Saellana jareya Allah adhabu, "Mara e dhalem aeng agaremmet samacemma mahlok se odhi’, ban e bang-abang pabannya’ mano’ ber-abberran."
Maka Allah menciptakan binatang-binatang laut yang besar dan segala jenis makhluk hidup yang bergerak, yang berkeriapan dalam air, dan segala jenis burung yang bersayap. Allah melihat bahwa semuanya itu baik.	Daddi Allah la nyepta’agi keban tase’ se ja-raja ban samacemma mahlok se odhi’ agaremmet e dhalem aeng, sarta samacemma mano’. Ban Allah senneng ngoladi jareya.
Lalu Allah memberkati semuanya itu, firman-Nya: "Berkembangbiaklah dan bertambah banyaklah serta penuhilah air dalam laut, dan hendaklah burung-burung di bumi bertambah banyak."	Allah aberkadi jareya kabbi, dhabuna, "Mara adhu’-budhu’ ban atamba bannya’ mossa’e aeng tase’, ban no’-mano’ sopaja atamba’a bannya’."
Jadilah petang dan jadilah pagi, itulah hari kelima.	Malem la lebat pas agante laggu. Jareya are se kapeng lema’.
Berfirmanlah Allah: "Hendaklah bumi mengeluarkan segala jenis makhluk yang hidup, ternak dan binatang melata dan segala jenis binatang liar." Dan jadilah demikian.	Saellana jareya Allah adhabu, "Mara bume makalowar samacemma keban, se notot ban se kesset, se raja ban se kene’ sarta keban se agalajar." Apa se edhabuwagi Allah jareya kalakon.
Allah menjadikan segala jenis binatang liar dan segala jenis ternak dan segala jenis binatang melata di muka bumi. Allah melihat bahwa semuanya itu baik.	Daddi Allah la abadhi keban se notot ban se kesset sarta keban se agalajar. Ban Allah senneng ngoladi jareya.
Berfirmanlah Allah: "Baiklah Kita menjadikan manusia menurut gambar dan rupa Kita, supaya mereka berkuasa atas ikan-ikan di laut dan burung-burung di udara dan atas ternak dan atas seluruh bumi dan atas segala binatang melata yang merayap di bumi."	Saellana jareya Allah adhabu, "Mara sateya ja’ agabaya manossa se merep Sengko’ ban ba’na, sopaja manossa jareya ngobasane bume, ko’-juko’, no’-mano’ ban sakabbinna keban laenna, se notot ban se kesset sarta ban-keban se agalajar e tana."
Maka Allah menciptakan manusia itu menurut gambar-Nya, menurut gambar Allah diciptakan-Nya dia; laki-laki dan perempuan diciptakan-Nya mereka.	Daddi Allah nyepta’agi manossa se merep Salerana dibi’. Manossa se ecepta’agi jareya badha se lalake’ badha se babine’.
Allah memberkati mereka, lalu Allah berfirman kepada mereka: "Beranakcuculah dan bertambah banyak; penuhilah bumi dan taklukkanlah itu, berkuasalah atas ikan-ikan di laut dan burung-burung di udara dan atas segala binatang yang merayap di bumi."	Allah laju aberkadi manossa se lalake’ ban babine’ jareya, sarta adhabu, "Mara ba’na pabannya’ na’ potona sopaja toronanna ba’na mossa’e ban ngobasane bume. Kobasae ko’-juko’ ban no’-mano’ sarta sakabbinna keban laenna.
Berfirmanlah Allah: "Lihatlah, Aku memberikan kepadamu segala tumbuh-tumbuhan yang berbiji di seluruh bumi dan segala pohon-pohonan yang buahnya berbiji; itulah akan menjadi makananmu.	Sakabbinna bu-tombuwan se ngasellagi gi-bigi ban wa’-buwa’an bi’ Sengko’ ebagiya ka ba’na menangka kakanna ba’na.
Tetapi kepada segala binatang di bumi dan segala burung di udara dan segala yang merayap di bumi, yang bernyawa, Kuberikan segala tumbuh-tumbuhan hijau menjadi makanannya." Dan jadilah demikian.	Tape no’-mano’ sarta ban-keban laenna bi’ Sengko’ eberri’ana rebba ban bu-tombuwan laenna menangka kakanna." Se edhabuwagi Allah jareya kalakon kabbi.
Maka Allah melihat segala yang dijadikan-Nya itu, sungguh amat baik. Jadilah petang dan jadilah pagi, itulah hari keenam.	Allah ngoladi sabarang se ebadhi Salerana jareya ce’ bagussa kabbi. Malem la lebat pas agante laggu. Jareya are se kapeng ennem.
Demikianlah diselesaikan langit dan bumi dan segala isinya.	Daddi alam dunnya la mare ecepta’agi kabbi.
Ketika Allah pada hari ketujuh telah menyelesaikan pekerjaan yang dibuat-Nya itu, berhentilah Ia pada hari ketujuh dari segala pekerjaan yang telah dibuat-Nya itu.	E are se kapeng petto’ sabarang se elampa’agi Allah la mare kabbi, ban Allah pas aistirahat.
Lalu Allah memberkati hari ketujuh itu dan menguduskannya, karena pada hari itulah Ia berhenti dari segala pekerjaan penciptaan yang telah dibuat-Nya itu.	Are se kapeng petto’ jareya laju eberkadi pas ekusussagi ka Salerana, sabab e are se kapeng petto’ jareya Allah aistirahat saellana mare se nyepta’agi alam dunnya.
Demikianlah riwayat langit dan bumi pada waktu diciptakan. Ketika TUHAN Allah menjadikan bumi dan langit, --	Kantha jareya caretana langnge’ ban bume e bakto ecepta’agi. E bakto GUSTE Allah abadhi alam dunnya,
belum ada semak apapun di bumi, belum timbul tumbuh-tumbuhan apapun di padang, sebab TUHAN Allah belum menurunkan hujan ke bumi, dan belum ada orang untuk mengusahakan tanah itu;	e bume gi’ tadha’ ne-bine se nyelbi’ ban gi’ tadha’ bu-tombuwan, sabab GUSTE Allah gi’ ta’ matoron ojan ban gi’ tadha’ oreng se agaraba tana.
tetapi ada kabut naik ke atas dari bumi dan membasahi seluruh permukaan bumi itu--	Tape aeng la molae nyerrep dhari baba sampe’ kole’na bume bacca.
ketika itulah TUHAN Allah membentuk manusia itu dari debu tanah dan menghembuskan nafas hidup ke dalam hidungnya; demikianlah manusia itu menjadi makhluk yang hidup.	GUSTE Allah laju mondhut tana sakone’, pas ebadhi manossa, manossa jareya eparenge nyaba se maodhi’, se eserrobbagi ka dhalem lobangnga elongnga; daddi manossa jareya pas odhi’.
Selanjutnya TUHAN Allah membuat taman di Eden, di sebelah timur; disitulah ditempatkan-Nya manusia yang dibentuk-Nya itu.	Saellana jareya GUSTE Allah pas abadhi bun-kebbunan e Eden, mongging temor; manossa se ebadhi gella’ esaba’ e jadhiya.
Lalu TUHAN Allah menumbuhkan berbagai-bagai pohon dari bumi, yang menarik dan yang baik untuk dimakan buahnya; dan pohon kehidupan di tengah-tengah taman itu, serta pohon pengetahuan tentang yang baik dan yang jahat.	GUSTE Allah laju matombu samacemma ka’-bungka’an se gus-bagus, se ngasellagi wa’-buwa’an se man-nyaman. E nga’-tengnga’anna bun-kebbunan jareya badha bungkana kaodhi’an, ban bungkana pangataowan parkara se becce’ ban se juba’.
Ada suatu sungai mengalir dari Eden untuk membasahi taman itu, dan dari situ sungai itu terbagi menjadi empat cabang.	Bun-kebbunan jareya tanana bacca polana egili’i songay dhari Eden; e lowarra Eden songay jareya acangka empa’.
Yang pertama, namanya Pison, yakni yang mengalir mengelilingi seluruh tanah Hawila, tempat emas ada.	Cangkana se nomer settong nyamana Pison, agili ngobengnge nagara Hawila.
Dan emas dari negeri itu baik; di sana ada damar bedolah dan batu krisopras.	E jadhiya ngasellagi emmas morne ban mennyan se malarat sareyanna, sarta to-bato mamatan.
Nama sungai yang kedua ialah Gihon, yakni yang mengalir mengelilingi seluruh tanah Kush.	Songay se nomer dhuwa’ nyamana Gihon; aengnga agili ngobengnge nagara Kus.
Nama sungai yang ketiga ialah Tigris, yakni yang mengalir di sebelah timur Asyur. Dan sungai yang keempat ialah Efrat.	Songay se nomer tello’ nyamana Tigris, agili e temoranna Asyur. Ban songay se nomer empa’ nyamana Efrat.
TUHAN Allah mengambil manusia itu dan menempatkannya dalam taman Eden untuk mengusahakan dan memelihara taman itu.	Saellana jareya GUSTE Allah pas nyaba’ manossa gella’ e bun-kebbunan Eden, kaangguy agarab ban meyara bun-kebbunan jareya.
Lalu TUHAN Allah memberi perintah ini kepada manusia: "Semua pohon dalam taman in boleh kaumakan buahnya dengan bebas,	GUSTE Allah pas adhabu ka manossa jareya, "Ba’na olle ngakan buwana sakabbinna ka’-bungka’an e bun-kebbunan reya,
tetapi pohon pengetahuan tentang yang baik dan yang jahat itu, janganlah kaumakan buahnya, sebab pada hari engkau memakannya, pastilah engkau mati."	kajabana buwana bungkana pangataowan parkara se becce’ ban se juba’. Mon ba’na ngakan buwa jareya, sanatkala jareya keya ba’na bakal mateya."
TUHAN Allah berfirman: "Tidak baik, kalau manusia itu seorang diri saja. Aku akan menjadikan penolong baginya, yang sepadan dengan dia."	GUSTE Allah laju adhabu, "Ta’ becce’ mon manossa reya kadibi’an. Bi’ Sengko’ egabayyagiya kanca se cocok, me’ olle abanto manossa reya."
Lalu TUHAN Allah membentuk dari tanah segala binatang hutan dan segala burung di udara. Dibawa-Nyalah semuanya kepada manusia itu untuk melihat, bagaimana ia menamainya; dan seperti nama yang diberikan manusia itu kepada tiap-tiap makhluk yang hidup, demikianlah nanti nama makhluk itu.	GUSTE Allah laju mondhut tana se pas ebadhi samacemma keban se odhi’ e tana ban se odhi’ e bang-abang. Ban-keban jareya bi’ GUSTE Allah ebakta ka manossa gella’, terro ngagaliya ba’ enyama’ana apa tong-settongnga keban jareya bi’ manossa gella’. Nyamana saneyap keban jareya ngala’ dhari nyama baberri’na manossa jareya.
Manusia itu memberi nama kepada segala ternak, kepada burung-burung di udara dan kepada segala binatang hutan, tetapi baginya sendiri ia tidak menjumpai penolong yang sepadan dengan dia.	Daddi sakabbinna keban se odhi’ e tenggangan ban se odhi’ e bang-abang eberri’i nyama bi’ manossa jareya. Tape ban-keban jareya tadha’ settonga se ekennenga gabay kanca se cocok se abantowa aba’na.
Lalu TUHAN Allah membuat manusia itu tidur nyenyak; ketika ia tidur, TUHAN Allah mengambil salah satu rusuk dari padanya, lalu menutup tempat itu dengan daging.	Saellana jareya manossa gella’ bi’ GUSTE Allah epatedhung sampe’ ngeddha, ban teppa’na manossa jareya tedhung, GUSTE Allah mondhut sala settonga tolang roso’na, lampadda pas etotobi ban daging.
Dan dari rusuk yang diambil TUHAN Allah dari manusia itu, dibangun-Nyalah seorang perempuan, lalu dibawa-Nya kepada manusia itu.	Tolang roso’ jareya laju ebadhi oreng babine’, pas ebakta ka manossa gella’.
Lalu berkatalah manusia itu: "Inilah dia, tulang dari tulangku dan daging dari dagingku. Ia akan dinamai perempuan, sebab ia diambil dari laki-laki."	Manossa jareya laju ngoca’, "Areya’ oreng se padha ban sengko’ — tolang dhari tang tolang, ban daging dhari tang daging. Bi’ sengko’ enyama’ana babine’, polana oreng reya ekala’ dhari lalake’."
Sebab itu seorang laki-laki akan meninggalkan ayahnya dan ibunya dan bersatu dengan isterinya, sehingga keduanya menjadi satu daging.	Jareya asal molana oreng lalake’ adina’agi rama ebuna apolong ban binena, ban se kadhuwa jareya pas daddi settong.
Mereka keduanya telanjang, manusia dan isterinya itu, tetapi mereka tidak merasa malu.	Oreng lalake’ ban babine’ jareya padha abangkang, tape padha ta’ andhi’ rassa todhus.
Adapun ular ialah yang paling cerdik dari segala binatang di darat yang dijadikan oleh TUHAN Allah. Ular itu berkata kepada perempuan itu: "Tentulah Allah berfirman: Semua pohon dalam taman ini jangan kamu makan buahnya, bukan?"	Olar reya keban se paleng salenter dhari sakabbinna keban se ebadhi GUSTE Allah. Olar jareya atanya ka babine’ gella’, "Apa ba’na ban lalake’ rowa bi’ Guste Allah ta’ eparengngagi ngakan buwana sakabbinna ka’-bungka’an se badha e bun-kebbunan reya?"
Lalu sahut perempuan itu kepada ular itu: "Buah pohon-pohonan dalam taman ini boleh kami makan,	Saodda babine’ jareya, "Buwana sabadhana ka’-bungka’an e bun-kebbunan reya olle ekakan,
tetapi tentang buah pohon yang ada di tengah-tengah taman, Allah berfirman: Jangan kamu makan ataupun raba buah itu, nanti kamu mati."	kajabana buwana kajuwan se badha e nga’-tengnga’anna bun-kebbunan reya. Bi’ Guste Allah buwana ta’ eparengngagi kakan otaba esedding. Mon larangan jareya eterrak, tanto sengko’ mate."
Tetapi ular itu berkata kepada perempuan itu: "Sekali-kali kamu tidak akan mati,	Olar gella’ ngoca’, "Enja’, ba’na ta’ kera mate.
tetapi Allah mengetahui, bahwa pada waktu kamu memakannya matamu akan terbuka, dan kamu akan menjadi seperti Allah, tahu tentang yang baik dan yang jahat."	Guste Allah adhabu kantha jareya sabab la ngagali mon ba’na ban lalake’ rowa ngakan buwa jareya tanto pekkeranna pas tabukka’, pas padha ban Guste Allah, tao ka parkara se becce’ ban se juba’."
Perempuan itu melihat, bahwa buah pohon itu baik untuk dimakan dan sedap kelihatannya, lagipula pohon itu menarik hati karena memberi pengertian. Lalu ia mengambil dari buahnya dan dimakannya dan diberikannya juga kepada suaminya yang bersama-sama dengan dia, dan suaminyapun memakannya.	Babine’ jareya nangale’e ja’ kajuwan jareya lebur ban buwana mon ekakan tanto nyaman. Ca’na pekkerra, ce’ nyamanna mon aba’na pas daddi penter. Daddi buwana kajuwan jareya pas epetthek, terros ekakan, se lake’ eberri’i keya, sarta pas noro’ ngakan.
Maka terbukalah mata mereka berdua dan mereka tahu, bahwa mereka telanjang; lalu mereka menyemat daun pohon ara dan membuat cawat.	Gi’ buru mare se ngakan buwana kajuwan jareya, pekkeranna pas tabukka’, se kadhuwa jareya laju tao ja’ aba’na padha abangkang. Daddi laju padha ngala’ dhaunna ara, ebung-sambung epanotobi badanna.
Ketika mereka mendengar bunyi langkah TUHAN Allah, yang berjalan-jalan dalam taman itu pada waktu hari sejuk, bersembunyilah manusia dan isterinya itu terhadap TUHAN Allah di antara pohon-pohonan dalam taman.	E baja asar e are jareya keya oreng lake’ bine’ gella’ ngedhing GUSTE Allah alomampa e dhalem bun-kebbunan, se kadhuwa jareya pas ngetek e antarana ju-kajuwan sopaja ta’ eoladi GUSTE Allah.
Tetapi TUHAN Allah memanggil manusia itu dan berfirman kepadanya: "Di manakah engkau?"	Tape GUSTE Allah adhabu epakaja, "Badha e dhimma ba’na, manossa?"
Ia menjawab: "Ketika aku mendengar, bahwa Engkau ada dalam taman ini, aku menjadi takut, karena aku telanjang; sebab itu aku bersembunyi."	Se lake’ nyaot, "Abdidalem mereng Junandalem badha e bun-kebbunan ka’dhinto, abdidalem tako’, polana abdidalem abangkang; daddi abdidalem ngetek."
Firman-Nya: "Siapakah yang memberitahukan kepadamu, bahwa engkau telanjang? Apakah engkau makan dari buah pohon, yang Kularang engkau makan itu?"	Dhabuna GUSTE Allah, "Sapa se malae ja’ ba’na abangkang? Apa ba’na ngakan buwana kajuwan se bi’ Sengko’ ta’ ebagi kakan rowa?"
Manusia itu menjawab: "Perempuan yang Kautempatkan di sisiku, dialah yang memberi dari buah pohon itu kepadaku, maka kumakan."	Lalake’ jareya nyaot, "Babine’ paparengnga Junandalem ka’dhinto ngatore abdidalem buwana kajuwan ka’dhissa’, daddi sareng abdidalem laju eteddha."
Kemudian berfirmanlah TUHAN Allah kepada perempuan itu: "Apakah yang telah kauperbuat ini?" Jawab perempuan itu: "Ular itu yang memperdayakan aku, maka kumakan."	 Kemudian berfirmanlah TUHAN Allah kepada perempuan itu: "Apakah yang telah kauperbuat ini?" Jawab perempuan itu: "Ular itu yang memperdayakan aku, maka kumakan."
Lalu berfirmanlah TUHAN Allah kepada ular itu: "Karena engkau berbuat demikian, terkutuklah engkau di antara segala ternak dan di antara segala binatang hutan; dengan perutmulah engkau akan menjalar dan debu tanahlah akan kaumakan seumur hidupmu.	GUSTE Allah pas adhabu ka olar jareya, "Polana tengkana ba’na se kantha jareya, bi’ Sengko’ ba’na eokoma; dhari sakabbinna keban, pera’ ba’na se kodu nanggung babaston reya: ba’na kodu agalajar ngangguy tabu’na, ban saomorra kodu ngakan abu.
Aku akan mengadakan permusuhan antara engkau dan perempuan ini, antara keturunanmu dan keturunannya; keturunannya akan meremukkan kepalamu, dan engkau akan meremukkan tumitnya."	Bi’ Sengko’ ba’na epamosowana ban babine’ reya, toronanna ba’na ban toronanna babine’ reya bakal amosowana; cethagga ba’na bakal eparemmoga bi’ toronanna babine’ reya, dineng ba’na bakal ngekke’a tombedda toronanna."
Firman-Nya kepada perempuan itu: "Susah payahmu waktu mengandung akan Kubuat sangat banyak; dengan kesakitan engkau akan melahirkan anakmu; namun engkau akan berahi kepada suamimu dan ia akan berkuasa atasmu."	Saellana jareya GUSTE Allah pas adhabu ka babine’ gella’, "Mon ba’na teppa’na ngandhung bi’ Sengko’ epatamba’a malarat, mon rembi’a epasajana sake’. Maske kantha jareya ba’na gi’ bakal pagguna barai ka lakena, ban ba’na bakal ekobasa’ana lakena jareya."
Lalu firman-Nya kepada manusia itu: "Karena engkau mendengarkan perkataan isterimu dan memakan dari buah pohon, yang telah Kuperintahkan kepadamu: Jangan makan dari padanya, maka terkutuklah tanah karena engkau; dengan bersusah payah engkau akan mencari rezekimu dari tanah seumur hidupmu:	Saellana jareya GUSTE Allah pas adhabu ka se lake’, "Ba’na ngedhingngagi cacana binena, pas ngakan buwa se bi’ Sengko’ ta’ ebagi kakan rowa. Lantaran tengkana ba’na se kantha jareya, tana reya bi’ Sengko’ ebastowa. Saomorra ba’na kodu alako berra’ sopaja olleya kakan se cokop dhari tana reya.
semak duri dan rumput duri yang akan dihasilkannya bagimu, dan tumbuh-tumbuhan di padang akan menjadi makananmu;	Dhari tana reya bakal tombuwa onbut se adhuri, ban bu-tombuwan alas bakal daddiya kakanna ba’na.
dengan berpeluh engkau akan mencari makananmu, sampai engkau kembali lagi menjadi tanah, karena dari situlah engkau diambil; sebab engkau debu dan engkau akan kembali menjadi debu."	Ba’na kodu alako berra’ makalowar pello koneng mon terro olleya hasel dhari tana reya, sampe’ ba’na mate abali ka tana pole, sabab ba’na reya asalla dhari tana, daddi kodu abali daddi tana."
Manusia itu memberi nama Hawa kepada isterinya, sebab dialah yang menjadi ibu semua yang hidup.	Bi’ manossa gella’ binena enyamae Hawa, sabab babine’ jareya daddi ebuna sakabbinna manossa.
Dan TUHAN Allah membuat pakaian dari kulit binatang untuk manusia dan untuk isterinya itu, lalu mengenakannya kepada mereka.	Bi’ GUSTE Allah Adam ban Hawa ebadhiyagi rasogan dhari kole’na keban, pas eagemmagi ka se kadhuwa jareya.
Berfirmanlah TUHAN Allah: "Sesungguhnya manusia itu telah menjadi seperti salah satu dari Kita, tahu tentang yang baik dan yang jahat; maka sekarang jangan sampai ia mengulurkan tangannya dan mengambil pula dari buah pohon kehidupan itu dan memakannya, sehingga ia hidup untuk selama-lamanya."	GUSTE Allah adhabu, "Sateya manossa reya la daddi merep bi’ Sengko’ ban ba’na, tao ka parkara se becce’ ban se juba’. Daddi kodu ejaga sopaja ta’ sampe’a ngakan buwana bungkana kaodhi’an, me’ olle ta’ odhi’ salanjangnga."
Lalu TUHAN Allah mengusir dia dari taman Eden supaya ia mengusahakan tanah dari mana ia diambil.	Daddi GUSTE Allah laju ngojuk manossa jareya dhari Bun-kebbunan Eden, epakon agarap tana se daddi asalla badanna.
Ia menghalau manusia itu dan di sebelah timur taman Eden ditempatkan-Nyalah beberapa kerub dengan pedang yang bernyala-nyala dan menyambar-nyambar, untuk menjaga jalan ke pohon kehidupan.	Saellana manossa jareya eojuk, e temoranna bun-kebbunan jareya, e jalan se elebadi mon maso’a ka Bun-kebbunan Eden jareya, bi’ GUSTE Allah esaba’i rub-kerub se akalembang, sarta epasange peddhang se rabbang se apoter kaangguy ajaga jalan se nojju ka bungkana kaodhi’an rowa.
Kemudian manusia itu bersetubuh dengan Hawa, isterinya, dan mengandunglah perempuan itu, lalu melahirkan Kain; maka kata perempuan itu: "Aku telah mendapat seorang anak laki-laki dengan pertolongan TUHAN."	Saellana jareya Adam apolong tedhung ban Hawa, rajina. Babine’ jareya pas bubut, sarta babar lalake’, pas adhabu, "Kalaban partolonganna PANGERAN sengko’ andhi’ ana’ lalake’." Daddi kana’ jareya enyamae Kain.
Selanjutnya dilahirkannyalah Habel, adik Kain; dan Habel menjadi gembala kambing domba, Kain menjadi petani.	Saellana jareya Hawa pas babar lalake’ pole, enyamae Habil. Habil daddi oreng ngowan dumba, tape Kain daddi oreng tane.
Setelah beberapa waktu lamanya, maka Kain mempersembahkan sebagian dari hasil tanah itu kepada TUHAN sebagai korban persembahan;	Ta’ abit saellana jareya Kain ngala’ sabagiyan dhari hasella tanena, egabay kurban ka PANGERAN.
Habel juga mempersembahkan korban persembahan dari anak sulung kambing dombanya, yakni lemak-lemaknya; maka TUHAN mengindahkan Habel dan korban persembahannya itu,	Habil ngatorragi kurban keya, iya areya budhu’na embi’ dumbana se sareyang, budhu’na dumba jareya esambelli, bagiyanna se paleng bagus ekagabay kurban ka PANGERAN. PANGERAN kasokan ka Habil ban kurbanna,
tetapi Kain dan korban persembahannya tidak diindahkan-Nya. Lalu hati Kain menjadi sangat panas, dan mukanya muram.	tape ta’ kasokan ka Kain ban kurbanna. Kain laju ce’ peggella, mowana nyarotheng.
Firman TUHAN kepada Kain: "Mengapa hatimu panas dan mukamu muram?	Daddi PANGERAN adhabu ka Kain, "Arapa ba’na me’ peggel? Arapa ba’na me’ theng-nyarotheng?
Apakah mukamu tidak akan berseri, jika engkau berbuat baik? Tetapi jika engkau tidak berbuat baik, dosa sudah mengintip di depan pintu; ia sangat menggoda engkau, tetapi engkau harus berkuasa atasnya."	Mon ba’na alako becce’, tanto ba’na mesem; tape mon ba’na atengka juba’, atena ba’na esemma’e dusa. Dusa jareya ngobasa’ana ba’na, tape ba’na kodu makala gudha’anna."
Kata Kain kepada Habel, adiknya: "Marilah kita pergi ke padang." Ketika mereka ada di padang, tiba-tiba Kain memukul Habel, adiknya itu, lalu membunuh dia.	Kain pas ngoca’ ka Habil, "Mara ja’ entara ka teggal." Sanapa’na ka jadhiya, Habil epokol bi’ Kain, terros epate’e.
Firman TUHAN kepada Kain: "Di mana Habel, adikmu itu?" Jawabnya: "Aku tidak tahu! Apakah aku penjaga adikku?"	Dhabuna PANGERAN ka Kain, "Kemma Habil, ale’na ba’na?" Saodda Kain, "Ta’ oneng. Masa’ abdidalem ajaga’a ale’?"
Firman-Nya: "Apakah yang telah kauperbuat ini? Darah adikmu itu berteriak kepada-Ku dari tanah.	PANGERAN adhabu, "Arapa ba’na me’ ngalakone barang se nako’e jareya? Dharana ale’na ba’na aera’ ka Sengko’ dhari dhalem tana, akantha sowara se acerreng menta babales.
Maka sekarang, terkutuklah engkau, terbuang jauh dari tanah yang mengangakan mulutnya untuk menerima darah adikmu itu dari tanganmu.	Daddi sateya bi’ Sengko’ ba’na ebastowa, tabuwang jau dhari tana se anganga ngesep dharana ale’na ba’na se epate’e bi’ tanangnga ba’na jareya.
Apabila engkau mengusahakan tanah itu, maka tanah itu tidak akan memberikan hasil sepenuhnya lagi kepadamu; engkau menjadi seorang pelarian dan pengembara di bumi."	Mon ba’na agarap tana, ba’na ta’ kera olle hasel pa-apa dhari tana jareya; ba’na bakal le-ngalleya san-kassannagi, akantha buronan se ta’ andhi’ kennengngan e bume."
Kata Kain kepada TUHAN: "Hukumanku itu lebih besar dari pada yang dapat kutanggung.	Kain mator ka PANGERAN, "Okomanna Junandalem talebat berra’, abdidalem ta’ kellar se nyandhanga.
Engkau menghalau aku sekarang dari tanah ini dan aku akan tersembunyi dari hadapan-Mu, seorang pelarian dan pengembara di bumi; maka barangsiapa yang akan bertemu dengan aku, tentulah akan membunuh aku."	Abdidalem etondhung dhari tana ka’dhinto, jau dhari ajunanna Junandalem. Abdidalem bakal le-ngalleya san-kassannagi, akadi buronan se ta’ gadhuwan kennengngan e bume. Daddi manabi abdidalem tapanggi sareng pasera’a saos, tanto abdidalem laju epate’e."
