Tetapi hal itu sangat mengesalkan hati Yunus, lalu marahlah ia.	Yunus ce’ ta’ sennengnga polana jareya; salerana la’-mala’ peggel.
Datanglah firman TUHAN kepada Yunus untuk kedua kalinya, demikian:	PANGERAN abu-dhabu kadhukaleyanna ka Yunus.
"Bangunlah, pergilah ke Niniwe, kota yang besar itu, dan sampaikanlah kepadanya seruan yang Kufirmankan kepadamu."	Dhabuna, "Kassa’ ba’na entar ka Niniwe, kottha se raja rowa, ban panapa’ ka ra’yadda Tang sen-pessen rowa."
Bersiaplah Yunus, lalu pergi ke Niniwe, sesuai dengan firman Allah. Niniwe adalah sebuah kota yang mengagumkan besarnya, tiga hari perjalanan luasnya.	Yunus atoro’ ka dhabuna PANGERAN, pas meyos ka Niniwe, settong kottha se ce’ rajana; dhari rajana, mon oreng lebada e kottha jareya sampe’ tello are abidda.
Mulailah Yunus masuk ke dalam kota itu sehari perjalanan jauhnya, lalu berseru: "Empat puluh hari lagi, maka Niniwe akan ditunggangbalikkan."	Yunus maso’ ka kottha jareya ban saellana alomampa saare benteng, laju molae akotbah, dhabuna, "Pa’ polo are aggi’ Niniwe reya bakal ancora."
Orang Niniwe percaya kepada Allah, lalu mereka mengumumkan puasa dan mereka, baik orang dewasa maupun anak-anak, mengenakan kain kabung.	Oreng Niniwe parcaja ka dhabuna Allah jareya. Ra’yadda kabbi motossagi apowasa’a, ban sakabbinna oreng, raja otaba kene’, padha ngangguy kalambi karong kaangguy noduwagi tobadda atena dhari sa-dusana.
Setelah sampai kabar itu kepada raja kota Niniwe, turunlah ia dari singgasananya, ditanggalkannya jubahnya, diselubungkannya kain kabung, lalu duduklah ia di abu.	E bakto rato Niniwe meyarsa kabar jareya, pas duli toron dhari tahtana. Juba karaja’anna ebukka’, pas asalen ngagem rasogan karong, sarta pas alenggi e attassa abu.
Lalu atas perintah raja dan para pembesarnya orang memaklumkan dan mengatakan di Niniwe demikian: "Manusia dan ternak, lembu sapi dan kambing domba tidak boleh makan apa-apa, tidak boleh makan rumput dan tidak boleh minum air.	Salaenna jareya rato buru makalowar ma’lumat se monyena kantha reya, "Parenta reya epakalowar e Niniwe kalaban kapotosanna rato ban para mantre: sakabbinna oreng, sape, dumba sarta ebin laenna padha ta’ olle ngakan ban ta’ olle ngenom.
Haruslah semuanya, manusia dan ternak, berselubung kain kabung dan berseru dengan keras kepada Allah serta haruslah masing-masing berbalik dari tingkah lakunya yang jahat dan dari kekerasan yang dilakukannya.	Manossa sarta ban-keban kodu akalambi karong. Menangka tandhana tobat sakabbinna oreng kodu adu’a kalaban gu-onggu ka Allah. Reng-oreng jareya kabbi kodu ngoba tengkana se jahat sarta lalakonna se possa’ dusana.
Siapa tahu, mungkin Allah akan berbalik dan menyesal serta berpaling dari murka-Nya yang bernyala-nyala itu, sehingga kita tidak binasa."	Sapa tao me’ pola Allah bakal ngoba’a kasokanna sarta ta’ duka pole, daddi sengko’ ban ba’na burung se mateya!"
Ketika Allah melihat perbuatan mereka itu, yakni bagaimana mereka berbalik dari tingkah lakunya yang jahat, maka menyesallah Allah karena malapetaka yang telah dirancangkan-Nya terhadap mereka, dan Iapun tidak jadi melakukannya.	Allah ngoladi apa se elakone reng-oreng jareya; Salerana ngoladi ja’ reng-oreng jareya la ambu ta’ atengka juba’ pole. Daddi Allah pas ngoba kapotosanna ban burung se ngokoma reng-oreng jareya.
Berdoalah Yunus kepada TUHAN, Allahnya, dari dalam perut ikan itu,	Dhari dhalem tabu’na juko’ Yunus adu’a ka GUSTE Allahna. Atorra,
katanya: "Dalam kesusahanku aku berseru kepada TUHAN, dan Ia menjawab aku, dari tengah-tengah dunia orang mati aku berteriak, dan Kaudengarkan suaraku.	"Adhu GUSTE, e dhalem kasossa’an ka’dhinto abdidalem aserro, ban Junandalem pas nyaot. Dhari dunnyaepon oreng mate abdidalem nyo’on partolongan, sareng Junandalem epeyarsa’agi ban ekabbuli.
Telah Kaulemparkan aku ke tempat yang dalam, ke pusat lautan, lalu aku terangkum oleh arus air; segala gelora dan gelombang-Mu melingkupi aku.	Junandalem melpallagi abdidalem ka kennengngan se dhalem, kantos ka dhasarra tase’ raja. E ka’dhissa’ abdidalem ekalenglenge aeng raja, sarta etal-ontallagi omba’.
Dan aku berkata: telah terusir aku dari hadapan mata-Mu. Mungkinkah aku memandang lagi bait-Mu yang kudus?	E dhalem ate abdidalem ngoca’: Bi’ PANGERAN sengko’ etondhung dhari ajunanna. Sengko’ ta’ kera nangale’e pole Padalemmanna se socce.
Segala air telah mengepung aku, mengancam nyawaku; samudera raya merangkum aku; lumut lautan membelit kepalaku	Aeng tase’ ongga kantos gan bibir, tase’ raja notobi abdidalem sabadan, bulung tase’ alet-bulet e cethak.
di dasar gunung-gunung. Aku tenggelam ke dasar bumi; pintunya terpalang di belakangku untuk selama-lamanya. Ketika itulah Engkau naikkan nyawaku dari dalam liang kubur, ya TUHAN, Allahku. Ketika jiwaku letih lesu di dalam aku, teringatlah aku kepada TUHAN, dan sampailah doaku kepada-Mu, ke dalam bait-Mu yang kudus	Abdidalem alonca’ kantos ka dhasarra pagunongan, ka alam se labang sakethengnga ekonci kantos aher jaman. Nyaba e dhalem dhadha arassa lesso, abdidalem pas emot ka Junandalem laju aserro. Daddi parnyo’onan abdidalem pas napa’ ka Junandalem, ka Padalemmannepon Junandalem se socce. Saamponnepon gapaneka abdidalem pas eangkes dhari dhalem tase’ sareng Junandalem, GUSTE!
Mereka yang berpegang teguh pada berhala kesia-siaan, merekalah yang meninggalkan Dia, yang mengasihi mereka dengan setia.	Reng-oreng se nyemba ka brahala se tadha’ gunana, adinggallagi Junandalem, ta’ esto ka dhabuna.
Tetapi aku, dengan ucapan syukur akan kupersembahkan korban kepada-Mu; apa yang kunazarkan akan kubayar. Keselamatan adalah dari TUHAN!"	Namong abdidalem badhi anyanye amolja’agiya Junandalem sareng ngatorragiya kurban ka Junandalem. Sadajana janji sareng abdidalem ejalannagiya. Junandalem PANGERAN se apareng kasalameddan."
Lalu berfirmanlah TUHAN kepada ikan itu, dan ikan itupun memuntahkan Yunus ke darat.	Saellana jareya kalaban dhabuna PANGERAN bi’ juko’ gella’ Yunus eota’agi ka tenggangan.
Datanglah firman TUHAN kepada Yunus bin Amitai, demikian:	E settong are PANGERAN abu-dhabu ka Yunus, pottrana Amitai.
"Bangunlah, pergilah ke Niniwe, kota yang besar itu, berserulah terhadap mereka, karena kejahatannya telah sampai kepada-Ku."	Dhabuna, "Kassa’ ba’na entar ka Niniwe, kottha se raja rowa, kabala ja’ kottha jareya eara bi’ sengko’, polana sengko’ tao ja’ pandhudhu’na ce’ jahadda."
Tetapi Yunus bersiap untuk melarikan diri ke Tarsis, jauh dari hadapan TUHAN; ia pergi ke Yafo dan mendapat di sana sebuah kapal, yang akan berangkat ke Tarsis. Ia membayar biaya perjalanannya, lalu naik kapal itu untuk berlayar bersama-sama dengan mereka ke Tarsis, jauh dari hadapan TUHAN.	Tape Yunus la’-mala’ mangkat ka kennengngan laen nyengla’ana PANGERAN. Salerana meyos ka Yopa, ban kabendherran manggi kapal se entara ka Spanyol. Saellana majar ongkossa, Yunus ongga ka kapal jareya, pas alajar abareng ban reng-oreng kapalan ka Spanyol, kaangguy nyenglae PANGERAN.
Tetapi TUHAN menurunkan angin ribut ke laut, lalu terjadilah badai besar, sehingga kapal itu hampir-hampir terpukul hancur. Awak kapal menjadi takut, masing-masing berteriak-teriak kepada allahnya, dan mereka membuang ke dalam laut segala muatan kapal itu untuk meringankannya. Tetapi Yunus telah turun ke dalam ruang kapal yang paling bawah dan berbaring di situ, lalu tertidur dengan nyenyak.	Yunus toron ka bagiyan se paleng baba, pas marobbu e jadhiya, laju ngeddha. PANGERAN laju madhateng angen barat ka attas tase’, sarta pas dhateng kaleng busbus se mokol kapal jareya sampe’ para’ ancora. Para bandhigana kapal jareya ce’ tako’na, padha rat-tharadan menta tolong ka dibana bang-sebang. Kaangguy ngorange babaja karem, buwadanna kapal jareya ebuwang ka dhalem tase’.
Datanglah nakhoda mendapatkannya sambil berkata: "Bagaimana mungkin engkau tidur begitu nyenyak? Bangunlah, berserulah kepada Allahmu, barangkali Allah itu akan mengindahkan kita, sehingga kita tidak binasa."	E bakto jaraganna kapal jareya toron ka baba, e jadhiya nemmo Yunus teppa’na asaren. Ca’na jaraganna kapal jareya, "Sampeyan masa’ bisa asaren e dhalem kabadha’an se cara paneka! Tore jaga, nyo’on ka dibana me’ olle eparenge partolongan! Pasera oneng me’ pola dibana sampeyan neser ka reng-oreng se badha e kapal paneka daddi kabbi padha ta’ mate."
Lalu berkatalah mereka satu sama lain: "Marilah kita buang undi, supaya kita mengetahui, karena siapa kita ditimpa oleh malapetaka ini." Mereka membuang undi dan Yunuslah yang kena undi.	Saellana Yunus ban jaraganna kapal jareya ongga ka attas, reng-oreng se badha e kapal jareya padha saleng ngoca’, "Mara ellot bai, me’ olle etemmo sapa e antarana reng-oreng se badha e kapal reya se andhi’ sala, me’ sampe’ ekenneng balai kantha reya!" Reng-oreng jareya ajumbu’ ellot, ban asmana Yunus se ekenneng.
Berkatalah mereka kepadanya: "Beritahukan kepada kami, karena siapa kita ditimpa oleh malapetaka ini. Apa pekerjaanmu dan dari mana engkau datang, apa negerimu dan dari bangsa manakah engkau?"	Ca’na reng-oreng jareya ka Yunus, "Ponapa lerres sampeyan se daddi lantaranna balai paneka? Sampeyan paneka dhari ka’imma? Bangsa ponapa? Aponapa sampeyan me’ badha e ka’iya?"
Sahutnya kepada mereka: "Aku seorang Ibrani; aku takut akan TUHAN, Allah yang empunya langit, yang telah menjadikan lautan dan daratan."	Saodda Yunus, "Kaula oreng Ibrani. Kaula nyemba ka PANGERAN, Allah e sowarga, se nyepta’agi tase’ sareng tenggangan."
Orang-orang itu menjadi sangat takut, lalu berkata kepadanya: "Apa yang telah kauperbuat?" --sebab orang-orang itu mengetahui, bahwa ia melarikan diri, jauh dari hadapan TUHAN. Hal itu telah diberitahukannya kepada mereka.	Saellana jareya Yunus pas nyareta’agi baramma salerana se ngoddi nyenglae PANGERAN. E bakto ngedhing careta jareya reng-oreng e kapal jareya padha atamba tako’, sarta pas ngoca’ ka Yunus, "Sampeyan me’ ce’ lancangnga!"
Bertanyalah mereka: "Akan kami apakan engkau, supaya laut menjadi reda dan tidak menyerang kami lagi, sebab laut semakin bergelora."	Sabatara jareya kaleng busbus jareya sajan raja, daddi reng-oreng e kapal jareya pas padha atanya ka Yunus, "Daddi sampeyan paneka bi’ kaula sadaja epakadiya ponapa me’ olle kaleng busbus paneka ambu?"
Sahutnya kepada mereka: "Angkatlah aku, campakkanlah aku ke dalam laut, maka laut akan menjadi reda dan tidak menyerang kamu lagi. Sebab aku tahu, bahwa karena akulah badai besar ini menyerang kamu."	Saodda Yunus, "Buwang saos kaula ka dhalem tase’, tanto kaleng busbus paneka pas ambu. Sabab samangken kaula ampon oneng, ja’ kaula se daddi sababba kaleng busbus se talebat rajana paneka ngenneng ka sampeyan sadaja."
Lalu berdayunglah orang-orang itu dengan sekuat tenaga untuk membawa kapal itu kembali ke darat, tetapi mereka tidak sanggup, sebab laut semakin bergelora menyerang mereka.	Tape para bandhigana kapal jareya gi’ aehteyar sawat-kowadda adhajung kapalla ka tenggangan. Tape kaleng busbus jareya sajan daddi, sampe’ ehteyarra reng-oreng jareya tadha’ ollena.
Lalu berserulah mereka kepada TUHAN, katanya: "Ya TUHAN, janganlah kiranya Engkau biarkan kami binasa karena nyawa orang ini dan janganlah Engkau tanggungkan kepada kami darah orang yang tidak bersalah, sebab Engkau, TUHAN, telah berbuat seperti yang Kaukehendaki."	Daddi reng-oreng jareya padha mator ka PANGERAN, "Adhu GUSTE, abdidalem sadaja nyo’ona, ja’ kantos abdidalem sadaja ka’dhinto epatompes amarga mate’e oreng se ta’ andhi’ sala sakone’a balakka’ ka abdidalem sadaja. Adhu GUSTE, Junandalem ampon alampa’agi ponapa se daddi kasokannepon Junandalem."
Kemudian mereka mengangkat Yunus, lalu mencampakkannya ke dalam laut, dan laut berhenti mengamuk.	Saellana jareya Yunus pas eontallagi ka tase’ bi’ reng-oreng jareya. Samarena jareya kaleng busbus gella’ pas ceddu.
Orang-orang itu menjadi sangat takut kepada TUHAN, lalu mempersembahkan korban sembelihan bagi TUHAN serta mengikrarkan nazar.	Para bandhigana kapal jareya pas padha tako’ ka PANGERAN, ban sanapa’na ka tenggangan, laju ngatorragi kurban ban ajanji acem-macem ka PANGERAN.
Maka atas penentuan TUHAN datanglah seekor ikan besar yang menelan Yunus; dan Yunus tinggal di dalam perut ikan itu tiga hari tiga malam lamanya.	Sabatara jareya PANGERAN madhateng juko’ se raja se ngontal Yunus. Daddi Yunus badha neng e dhalem tabu’na juko’ jareya sampe’ tello are tello malem abidda.
